name,attributes_cyl_path,agency_maint,inc_crc,fmel_upd_d,length_m,longitude,latitude
kml_45,Bedok,Land Transport Authority,BC03E9C518ACB311,2022-02-16 13:57:18,36.68239276182027,103.92529894531617,1.3270303984761465
kml_46,Bedok,Land Transport Authority,0C0C1DF322460EC0,2022-02-16 13:57:18,151.66357790294828,103.9260329689544,1.3266421215295465
kml_47,Bedok,Land Transport Authority,1621F3F095F424E5,2022-02-16 13:57:18,26.396568457173117,103.92509646876199,1.3272068736874036
kml_48,Bedok,Land Transport Authority,266C6C31EF4C1C01,2022-02-16 13:57:18,82.83485500392895,103.92742643909655,1.3264867001471141
kml_49,Punggol,LTA (Others),79B40FC81456CCC3,2022-02-16 13:57:18,20.32258728006194,103.90480380213366,1.4040797793495003
kml_50,Punggol,LTA (Others),69EFC2622B21F6F4,2022-02-16 13:57:18,9.157449316195503,103.9064999859495,1.3991238628783549
kml_51,Clementi,Land Transport Authority,230F6C5977899031,2022-02-16 13:57:18,188.48134058780317,103.76562764722011,1.3169999781933852
kml_52,Clementi,Land Transport Authority,230F6C5977899031,2022-02-16 13:57:18,188.48134058780317,103.76562764722011,1.3169999781933852
kml_53,Clementi,Land Transport Authority,6A138493501EFA41,2022-02-16 13:57:18,28.123101445783476,103.76589954973949,1.317985732745625
kml_54,Clementi,Land Transport Authority,6A138493501EFA41,2022-02-16 13:57:18,28.123101445783476,103.76589954973949,1.317985732745625
kml_55,Clementi,Land Transport Authority,053026F08B379B50,2022-02-16 13:57:18,18.614646592046164,103.76588926703135,1.31854457348828
kml_56,Clementi,Land Transport Authority,053026F08B379B50,2022-02-16 13:57:18,18.614646592046164,103.76588926703135,1.31854457348828
kml_57,Clementi,Land Transport Authority,8D5C8137EE55169B,2022-02-16 13:57:18,84.4963937195535,103.76603457536687,1.3190733061010913
kml_58,Clementi,Land Transport Authority,8D5C8137EE55169B,2022-02-16 13:57:18,84.4963937195535,103.76603457536687,1.3190733061010913
kml_59,Bedok,LTA (Others),FCBDC6E18A54D2EB,2022-02-16 13:57:18,9.223110290138834,103.93475511606201,1.319587209448815
kml_60,Bedok,Land Transport Authority,665420A5514A99F1,2022-02-16 13:57:18,80.6380096642678,103.92539934708151,1.330969273498885
kml_61,Pasir Ris,Land Transport Authority,34E471DB92D34100,2022-02-16 13:57:18,165.7961847007681,103.95980563599849,1.3706356449518151
kml_62,Punggol,Land Transport Authority,D14D13DBCC51C607,2022-02-16 13:57:18,37.10240596039352,103.90334133374449,1.40098649532684
kml_63,Punggol,Land Transport Authority,95E6F8AFFE97E929,2022-02-16 13:57:18,31.497869640505176,103.9029456861845,1.4011873617736899
kml_64,Punggol,Land Transport Authority,B1A29C5A2A187334,2022-02-16 13:57:18,9.088009987903652,103.9129728512725,1.3938055194277048
kml_65,Punggol,Land Transport Authority,2A443C0D2110F773,2022-02-16 13:57:18,2.053756494301098,103.9132242144135,1.3935976429748198
kml_66,Punggol,Land Transport Authority,C4B4195CA07CE3AD,2022-02-16 13:57:18,76.94900338588903,103.91353760620652,1.393332480636455
kml_67,Marina Bay,LTA (Others),BFAE0DA517AD4CB5,2022-02-16 13:57:18,33.13968677778353,103.8559730373225,1.27739760935293
kml_68,Marina Bay,LTA (Others),A73982BD092F596C,2022-02-16 13:57:18,39.36851510466515,103.86601494592699,1.280618857954285
kml_69,Marina Bay,LTA (Others),DDAD877DC1AE0653,2022-02-16 13:57:18,4.976128818803849,103.8558920342165,1.279817789078475
kml_70,Marina Bay,LTA (Others),8D0DCD9DD6027467,2022-02-16 13:57:18,4.231854260158633,103.85387382031199,1.28112770451858
kml_71,Marina Bay,LTA (Others),E5456BB99B743904,2022-02-16 13:57:18,4.658724243560329,103.85275202087999,1.281853119767945
kml_72,Marina Bay,LTA (Others),E14DF292241CFE70,2022-02-16 13:57:18,11.586795794485184,103.86417082675399,1.2794478384005799
kml_73,Marina Bay,LTA (Others),F5FF6F06EE0E9C84,2022-02-16 13:57:18,10.519964886708568,103.862866078461,1.2774689765250549
kml_74,Marina Bay,Land Transport Authority,A72E76DB5E2A3FDD,2022-02-16 13:57:18,180.78228136197126,103.85647090959633,1.2781948464331734
kml_75,Marina Bay,Land Transport Authority,2ADC0A1FA7001A43,2022-02-16 13:57:18,65.48496747594336,103.85797393017407,1.2777076137254797
kml_76,Marina Bay,LTA (Others),A669B6655031EFC1,2022-02-16 13:57:18,27.842744972409356,103.857274142375,1.276339338179985
