Attributes STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,last_updated,longitude,latitude
RENJONG LRT STATION,Exit A,35048F84F3D858BC,20230127204434,2023-01-27 20:44:34,103.890409161732,1.38669795588852
RENJONG LRT STATION,Exit B,B0178F7E6DD16A1A,20230127204434,2023-01-27 20:44:34,103.890438192124,1.38681414421555
RANGGUNG LRT STATION,Exit A,077813950167F0B1,20230127204434,2023-01-27 20:44:34,103.897321723817,1.3841763860699
RANGGUNG LRT STATION,Exit B,8D5E7FC2B8D737C3,20230127204434,2023-01-27 20:44:34,103.897223938055,1.38410488340512
KANGKAR LRT STATION,Exit A,8F3E5F0D6E718156,20230127204434,2023-01-27 20:44:34,103.902147558141,1.38407450287348
KANGKAR LRT STATION,Exit B,09AD446CDB37F542,20230127204434,2023-01-27 20:44:34,103.902276368029,1.38376520316725
BAKAU LRT STATION,Exit A,8A3C1E7317417FD2,20230127204434,2023-01-27 20:44:34,103.905445630714,1.38818538545215
BAKAU LRT STATION,Exit B,FD691A27B9222ACC,20230127204434,2023-01-27 20:44:34,103.905482124043,1.387840799257
RUMBIA LRT STATION,Exit A,19F50D0B45ED2625,20230127204434,2023-01-27 20:44:34,103.906018791652,1.39134048641742
RUMBIA LRT STATION,Exit B,24270D468CB0C551,20230127204434,2023-01-27 20:44:34,103.906105819366,1.39141424178713
ONE-NORTH MRT STATION,Exit A,1C5F562480779031,20230127204434,2023-01-27 20:44:34,103.786907466321,1.29902749872281
KENT RIDGE MRT STATION,Exit B,3A15EBE767637D7E,20230127204434,2023-01-27 20:44:34,103.784809631882,1.29242811590855
KENT RIDGE MRT STATION,Exit A,D5D0496822FDF5DF,20230127204434,2023-01-27 20:44:34,103.784465895365,1.29431588700949
HAW PAR VILLA MRT STATION,Exit A,F33EEDAA74A75803,20230127204434,2023-01-27 20:44:34,103.782006397072,1.28305527354176
PASIR PANJANG MRT STATION,Exit A,DC64D55F9888B200,20230127204434,2023-01-27 20:44:34,103.79203018692,1.27600323278505
LABRADOR PARK MRT STATION,Exit A,77D4BE63E9419638,20230127204434,2023-01-27 20:44:34,103.802355553663,1.27210695805434
TELOK BLANGAH MRT STATION,Exit A,A4D239AA865A436A,20230127204435,2023-01-27 20:44:35,103.80988373092,1.2707212262114
TAN KAH KEE MRT STATION,Exit A,90A659920312F326,20230127204435,2023-01-27 20:44:35,103.807799119073,1.32533306908018
CASHEW MRT STATION,Exit A,CC93934ACEAF445A,20230127204435,2023-01-27 20:44:35,103.764234480711,1.36983331859629
SIXTH AVENUE MRT STATION,Exit A,2C20FEBDCFC154A5,20230127204435,2023-01-27 20:44:35,103.796566082121,1.33078046994618
KING ALBERT PARK MRT STATION,Exit A,E65E02F76E0D2687,20230127204435,2023-01-27 20:44:35,103.783030260215,1.33553707766976
HILLVIEW MRT STATION,Exit B,A858C4A736160A26,20230127204435,2023-01-27 20:44:35,103.767108459936,1.36208433991773
BUKIT PANJANG MRT STATION,Exit A,73796FEF5F3AC744,20230127204435,2023-01-27 20:44:35,103.761922934209,1.37900796974076
ROCHOR MRT STATION,Exit A,3D9484B6A1206900,20230127204435,2023-01-27 20:44:35,103.852375021633,1.30340410653552
DOWNTOWN MRT STATION,Exit F,EF75BE606A770937,20230127204435,2023-01-27 20:44:35,103.852427746441,1.27979623969206
TELOK AYER MRT STATION,Exit A,974D41D519377A08,20230127204435,2023-01-27 20:44:35,103.848506543896,1.28188738923558
PIONEER MRT STATION,Exit A,2362DB8619A766E8,20230127204435,2023-01-27 20:44:35,103.697155373411,1.33734462692044
PIONEER MRT STATION,Exit B,72551C3253621E4C,20230127204435,2023-01-27 20:44:35,103.697129452876,1.33783162800548
TANJONG PAGAR MRT STATION,Exit I,80D1390DC9F96913,20230127204435,2023-01-27 20:44:35,103.845656003885,1.27644796791678
BUONA VISTA MRT STATION,Exit D,D90F93DC24A3A902,20230127204435,2023-01-27 20:44:35,103.790930065154,1.30629814162477
COMPASSVALE LRT STATION,Exit A,7A6540195C75D6C2,20230127204435,2023-01-27 20:44:35,103.9006164696,1.39432752151004
COMPASSVALE LRT STATION,Exit B,5E01800475DDF5ED,20230127204435,2023-01-27 20:44:35,103.900706597553,1.39453417229989
PUNGGOL POINT LRT STATION,Exit B,45E35F4903E99C73,20230127204435,2023-01-27 20:44:35,103.906693304924,1.41666406794097
PUNGGOL POINT LRT STATION,Exit A,A61E18152335BFC3,20230127204435,2023-01-27 20:44:35,103.906817792333,1.41691476791429
NIBONG LRT STATION,Exit A,853F2A40C64D662F,20230127204435,2023-01-27 20:44:35,103.900073808053,1.4117727733571
NIBONG LRT STATION,Exit B,BDB536DD4D5059E3,20230127204435,2023-01-27 20:44:35,103.900531554207,1.4119103237023
SUMANG LRT STATION,Exit A,DE121A01C547F972,20230127204435,2023-01-27 20:44:35,103.898335680078,1.40836843102047
SUMANG LRT STATION,Exit B,5B2417A2FAFF4D06,20230127204435,2023-01-27 20:44:35,103.898757123956,1.40848790183837
DOWNTOWN MRT STATION,Exit E,8938BEADE9C163A4,20230127204435,2023-01-27 20:44:35,103.852478046399,1.27952791063231
DOWNTOWN MRT STATION,Exit B,419B0A25DCF2D8F3,20230127204435,2023-01-27 20:44:35,103.85290812847,1.27960131828225
DOWNTOWN MRT STATION,Exit C,D77ADD7D0B7369D2,20230127204435,2023-01-27 20:44:35,103.853152091961,1.27944436839161
DOWNTOWN MRT STATION,Exit D,2397863DFE9A27AE,20230127204435,2023-01-27 20:44:35,103.853013759131,1.27917604078089
TELOK AYER MRT STATION,Exit C,F628F180D146397C,20230127204435,2023-01-27 20:44:35,103.848841656061,1.28225066426407
FARRER PARK MRT STATION,Exit I,29BDA63F18A13487,20230127204435,2023-01-27 20:44:35,103.855806657255,1.3117658772962
FARRER PARK MRT STATION,Exit H,54174A49E0822F8A,20230127204435,2023-01-27 20:44:35,103.856098852115,1.31188350806091
BOON KENG MRT STATION,Exit C,B8343022B9AB9000,20230127204435,2023-01-27 20:44:35,103.860706833288,1.31791481647231
POTONG PASIR MRT STATION,Exit A,1B39543BA5308563,20230127204435,2023-01-27 20:44:35,103.868966444703,1.33280135224287
NICOLL HIGHWAY MRT STATION,Exit B,2E07D7422B61952A,20230127204435,2023-01-27 20:44:35,103.864151747702,1.29966075968377
BOTANIC GARDENS MRT STATION,Exit A,A2B2C9A4721A3198,20230127204435,2023-01-27 20:44:35,103.814976905734,1.32253463294936
FARRER ROAD MRT STATION,Exit A,256E821C70941FD4,20230127204435,2023-01-27 20:44:35,103.807965230708,1.31749372589551
FARRER ROAD MRT STATION,Exit B,C5B7A8210D496AE2,20230127204435,2023-01-27 20:44:35,103.807389234558,1.31755201617223
HOLLAND VILLAGE MRT STATION,Exit C,6C37FA62DE7E9E31,20230127204435,2023-01-27 20:44:35,103.795753770113,1.31071120133272
HOLLAND VILLAGE MRT STATION,Exit A,5AE0992EF2AB9ACA,20230127204435,2023-01-27 20:44:35,103.796139102483,1.31122026577719
BAYFRONT MRT STATION,Exit C,959F42085F43D0D7,20230127204435,2023-01-27 20:44:35,103.859596872187,1.28283490868894
BAYFRONT MRT STATION,Exit B,F8BA0963046FE249,20230127204435,2023-01-27 20:44:35,103.859759180227,1.28270522470828
BEAUTY WORLD MRT STATION,Exit B,91AF290F33622FDB,20230127204435,2023-01-27 20:44:35,103.775450679441,1.34158221454984
BISHAN MRT STATION,Exit D,CC79D6FD2A8F1DD0,20230127204435,2023-01-27 20:44:35,103.850201081965,1.35105321993329
BISHAN MRT STATION,Exit A,32BBD904B9B7DCBD,20230127204435,2023-01-27 20:44:35,103.848304991722,1.35057959871202
BOON KENG MRT STATION,Exit A,0194CF0B3B46824D,20230127204435,2023-01-27 20:44:35,103.861502357069,1.32010687599131
SENGKANG MRT STATION,Exit D,E026168F5D7B044A,20230127204435,2023-01-27 20:44:35,103.89570545661,1.39237084363153
SENGKANG MRT STATION,Exit B,7B18AEBD6DA44B02,20230127204435,2023-01-27 20:44:35,103.895636894365,1.39179563766207
SENGKANG MRT STATION,Exit A,245FC278F4E5D3D3,20230127204435,2023-01-27 20:44:35,103.895405720754,1.39182911971822
SENGKANG MRT STATION,Exit C,5C2ABE67FA9DA403,20230127204435,2023-01-27 20:44:35,103.895209399885,1.39088158609449
PUNGGOL MRT STATION,Exit A,0B2529A684127E11,20230127204435,2023-01-27 20:44:35,103.902305996656,1.40533957622685
PUNGGOL LRT STATION,Exit D,ABD1B5F0A5C95A52,20230127204435,2023-01-27 20:44:35,103.901798524363,1.40443833617806
PUNGGOL MRT STATION,Exit B,E3FC8EFB1852284C,20230127204435,2023-01-27 20:44:35,103.902598196988,1.40518624176365
PUNGGOL LRT STATION,Exit C,946836207101FC23,20230127204435,2023-01-27 20:44:35,103.902115639183,1.40430062572978
BUANGKOK MRT STATION,Exit B,64BE76AD177F77E2,20230127204435,2023-01-27 20:44:35,103.893463152237,1.38264972282021
YISHUN MRT STATION,Exit C,6A53878C399EA119,20230127204435,2023-01-27 20:44:35,103.835090842713,1.42911681431371
TAI SENG MRT STATION,Exit B,B121007692C889BF,20230127204435,2023-01-27 20:44:35,103.888214067772,1.33462087723075
BARTLEY MRT STATION,Exit B,21A49043695321F2,20230127204435,2023-01-27 20:44:35,103.878908693925,1.34350106152933
BARTLEY MRT STATION,Exit A,0455856EC60DC1B0,20230127204435,2023-01-27 20:44:35,103.880255893265,1.34224874921609
SERANGOON MRT STATION,Exit H,F904CF22F1692BDE,20230127204435,2023-01-27 20:44:35,103.873546495734,1.34972769951436
SERANGOON MRT STATION,Exit A,56E474B40576C822,20230127204435,2023-01-27 20:44:35,103.873957395391,1.349481680255
