Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SELETARIS,"1,730,000","1,959.05",883,Jul-21,SEMBAWANG ROAD,Resale,Strata,182,"9,505",-,Condominium,1,Freehold,27,Outside Central Region,01 to 05
ECO SANCTUARY,"1,450,000","1,140.98","1,271",Jul-21,CHESTNUT AVENUE,Resale,Strata,106,"13,679",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,06 to 10
NORTHWOOD,"1,313,000","1,313.21","1,000",Jul-21,JALAN MATA AYER,Resale,Strata,122,"10,762",-,Condominium,1,Freehold,27,Outside Central Region,01 to 05
THE NAUTICAL,"640,000",570.49,"1,122",Jul-21,JALAN SENDUDOK,Resale,Strata,53,"12,075",-,Condominium,1,99 yrs lease commencing from 2011,27,Outside Central Region,01 to 05
H2O RESIDENCES,"913,000",882.65,"1,034",Jul-21,FERNVALE LINK,Resale,Strata,82,"11,134",-,Condominium,1,99 yrs lease commencing from 2010,28,Outside Central Region,16 to 20
PARC OASIS,"1,000,000","1,227.1",815,Jul-21,JURONG EAST AVENUE 1,Resale,Strata,114,"8,772",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,11 to 15
HILLVIEW PARK,"1,640,000","1,431.61","1,146",Jul-21,HILLVIEW AVENUE,Resale,Strata,133,"12,331",-,Condominium,1,Freehold,23,Outside Central Region,01 to 05
PINE GROVE,"1,650,000","1,679.18",983,Jul-21,PINE GROVE,Resale,Strata,156,"10,577",-,Condominium,1,99 yrs lease commencing from 1984,21,Rest of Central Region,11 to 15
NATURA@HILLVIEW,"700,000",538.2,"1,301",Jul-21,HILLVIEW TERRACE,Resale,Strata,50,"14,000",-,Apartment,1,Freehold,23,Outside Central Region,01 to 05
GUILIN VIEW,"788,000",861.12,915,Jul-21,BUKIT BATOK STREET 52,Resale,Strata,80,"9,850",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,26 to 30
FORETT@BUKIT TIMAH,"1,899,000",947.23,"2,005",Jul-21,TOH TUCK ROAD,New Sale,Strata,88,"21,580",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
FORETT@BUKIT TIMAH,"2,119,000","1,033.34","2,051",Jul-21,TOH TUCK ROAD,New Sale,Strata,96,"22,073",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
SEASONS PARK,"1,250,000","1,248.62","1,001",Jul-21,YIO CHU KANG ROAD,Resale,Strata,116,"10,776",-,Condominium,1,99 yrs lease commencing from 1995,26,Outside Central Region,01 to 05
MIDWOOD,"1,177,000",699.66,"1,682",Jul-21,HILLVIEW RISE,New Sale,Strata,65,"18,108",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15
PALM GARDENS,"915,000","1,205.57",759,Jul-21,HONG SAN WALK,Resale,Strata,112,"8,170",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,11 to 15
ECO SANCTUARY,"935,000",699.66,"1,336",Jul-21,CHESTNUT AVENUE,Resale,Strata,65,"14,385",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,16 to 20
HILLVIEW GREEN,"1,708,000","1,582.31","1,079",Jul-21,HUME AVENUE,Resale,Strata,147,"11,619",-,Condominium,1,999 yrs lease commencing from 1883,21,Outside Central Region,01 to 05
SHERWOOD CONDOMINIUM,"1,060,000",936.47,"1,132",Jul-21,JALAN JURONG KECHIL,Resale,Strata,87,"12,184",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
SOUTHAVEN II,"1,680,000","1,334.74","1,259",Jul-21,HINDHEDE WALK,Resale,Strata,124,"13,548",-,Condominium,1,999 yrs lease commencing from 1877,21,Outside Central Region,01 to 05
PARC ROSEWOOD,"1,141,000","1,625.36",702,Jul-21,ROSEWOOD DRIVE,Resale,Strata,151,"7,556",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
THE HILLSIDE,"1,880,000","1,356.26","1,386",Jul-21,UPPER BUKIT TIMAH ROAD,Resale,Strata,126,"14,921",-,Condominium,1,Freehold,21,Outside Central Region,06 to 10
THE CENTRIS,"1,100,000",936.47,"1,175",Jul-21,JURONG WEST CENTRAL 3,Resale,Strata,87,"12,644",-,Apartment,1,99 yrs lease commencing from 2006,22,Outside Central Region,06 to 10
THE CENTRIS,"1,138,000","1,001.05","1,137",Jul-21,JURONG WEST CENTRAL 3,Resale,Strata,93,"12,237",-,Apartment,1,99 yrs lease commencing from 2006,22,Outside Central Region,06 to 10
HILLION RESIDENCES,"2,250,000","1,410.08","1,596",Jul-21,JELEBU ROAD,Resale,Strata,131,"17,176",-,Apartment,1,99 yrs lease commencing from 2013,23,Outside Central Region,21 to 25
FORETT@BUKIT TIMAH,"1,616,000",764.24,"2,115",Jul-21,TOH TUCK ROAD,New Sale,Strata,71,"22,761",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
FORETT@BUKIT TIMAH,"1,899,000",947.23,"2,005",Jul-21,TOH TUCK ROAD,New Sale,Strata,88,"21,580",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
PARC VISTA,"928,000","1,076.4",862,Jul-21,CORPORATION ROAD,Resale,Strata,100,"9,280",-,Condominium,1,99 yrs lease commencing from 1995,22,Outside Central Region,11 to 15
MIDWOOD,"1,299,000",785.77,"1,653",Jul-21,HILLVIEW RISE,New Sale,Strata,73,"17,795",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,21 to 25
GUILIN VIEW,"785,000",861.12,912,Jul-21,BUKIT BATOK STREET 52,Resale,Strata,80,"9,813",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,16 to 20
ROOTS @ TRANSIT,"661,800",441.32,"1,500",Jul-21,TRANSIT ROAD,Resale,Strata,41,"16,141",-,Apartment,1,99 yrs lease commencing from 2014,26,Outside Central Region,01 to 05
THE SENSORIA,"1,150,000","1,151.75",998,Jul-21,JALAN ULU SEMBAWANG,Resale,Strata,107,"10,748",-,Condominium,1,Freehold,27,Outside Central Region,01 to 05
YISHUN EMERALD,"1,050,000","1,173.28",895,Jul-21,CANBERRA DRIVE,Resale,Strata,109,"9,633",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,11 to 15
THE WISTERIA,"790,000",710.42,"1,112",Jul-21,YISHUN RING ROAD,Resale,Strata,66,"11,970",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,01 to 05
MONTROSA,"950,000",861.12,"1,103",Jul-21,HILLVIEW AVENUE,Resale,Strata,80,"11,875",-,Condominium,1,999 yrs lease commencing from 1885,23,Outside Central Region,06 to 10
1 KING ALBERT PARK,"1,719,000","1,011.82","1,699",Jul-21,KING ALBERT PARK,Resale,Strata,94,"18,287",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
THE SKYWOODS,"1,300,000","1,011.82","1,285",Jul-21,DAIRY FARM HEIGHTS,Resale,Strata,94,"13,830",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
WOODGROVE CONDOMINIUM,"815,000","1,184.04",688,Jul-21,WOODGROVE DRIVE,Resale,Strata,110,"7,409",-,Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,01 to 05
MIDWOOD,"1,567,000",990.29,"1,582",Jul-21,HILLVIEW RISE,New Sale,Strata,92,"17,033",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,06 to 10
MIDWOOD,"1,163,000",699.66,"1,662",Jul-21,HILLVIEW RISE,New Sale,Strata,65,"17,892",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15
KINGSFORD . HILLVIEW PEAK,"1,020,000",775.01,"1,316",Jul-21,HILLVIEW RISE,Resale,Strata,72,"14,167",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,06 to 10
THE HILLSIDE,"1,796,750","1,302.44","1,380",Jul-21,UPPER BUKIT TIMAH ROAD,Resale,Strata,121,"14,849",-,Condominium,1,Freehold,21,Outside Central Region,06 to 10
PARKVIEW APARTMENTS,"881,000","1,119.46",787,Jul-21,BUKIT BATOK STREET 25,Resale,Strata,104,"8,471",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,06 to 10
CANBERRA RESIDENCES,"840,000",904.18,929,Jul-21,CANBERRA DRIVE,Resale,Strata,84,"10,000",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
MIDWOOD,"1,558,000",990.29,"1,573",Jul-21,HILLVIEW RISE,New Sale,Strata,92,"16,935",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,01 to 05
MIDWOOD,"1,168,000",688.9,"1,695",Jul-21,HILLVIEW RISE,New Sale,Strata,64,"18,250",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15
