Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
REFLECTIONS AT KEPPEL BAY,"2,200,000","1,323.97","1,662",Jun-22,KEPPEL BAY VIEW,Resale,Strata,123,"17,886",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,06 to 10
REFLECTIONS AT KEPPEL BAY,"2,445,000","1,625.36","1,504",Jun-22,KEPPEL BAY VIEW,Resale,Strata,151,"16,192",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,01 to 05
RIVIERE,"2,485,000",839.59,"2,960",Jun-22,JIAK KIM STREET,New Sale,Strata,78,"31,859",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,26 to 30
NORMANTON PARK,"2,193,000","1,248.62","1,756",Jun-22,NORMANTON PARK,New Sale,Strata,116,"18,905",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,21 to 25
RIVIERE,"2,930,000","1,173.28","2,497",Jun-22,JIAK KIM STREET,New Sale,Strata,109,"26,881",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,11 to 15
ONE PEARL BANK,"2,949,000","1,151.75","2,560",Jun-22,PEARL BANK,New Sale,Strata,107,"27,561",-,Apartment,1,99 yrs lease commencing from 2019,03,Rest of Central Region,16 to 20
RIVIERE,"3,150,000","1,140.98","2,761",Jun-22,JIAK KIM STREET,New Sale,Strata,106,"29,717",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,21 to 25
AVENUE SOUTH RESIDENCE,"1,288,000",527.44,"2,442",Jun-22,SILAT AVENUE,New Sale,Strata,49,"26,286",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,56 to 60
NORMANTON PARK,"2,071,000","1,087.16","1,905",Jun-22,NORMANTON PARK,New Sale,Strata,101,"20,505",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,21 to 25
NORMANTON PARK,"2,021,000","1,087.16","1,859",Jun-22,NORMANTON PARK,New Sale,Strata,101,"20,010",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
AVENUE SOUTH RESIDENCE,"1,715,000",656.6,"2,612",Jun-22,SILAT AVENUE,New Sale,Strata,61,"28,115",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,51 to 55
STIRLING RESIDENCES,"1,150,000",441.32,"2,606",Jun-22,STIRLING ROAD,New Sale,Strata,41,"28,049",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
ALEX RESIDENCES,"1,800,000",925.7,"1,944",Jun-22,ALEXANDRA VIEW,Resale,Strata,86,"20,930",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,21 to 25
REFLECTIONS AT KEPPEL BAY,"2,080,000",990.29,"2,100",Jun-22,KEPPEL BAY VIEW,Resale,Strata,92,"22,609",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,16 to 20
NORMANTON PARK,"2,027,000","1,087.16","1,864",Jun-22,NORMANTON PARK,New Sale,Strata,101,"20,069",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"2,142,000","1,237.86","1,730",Jun-22,JALAN LEMPENG,New Sale,Strata,115,"18,626",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
THE OCEANFRONT @ SENTOSA COVE,"3,068,000","1,711.48","1,793",Jun-22,OCEAN DRIVE,Resale,Strata,159,"19,296",-,Condominium,1,99 yrs lease commencing from 2005,04,Core Central Region,01 to 05
HIGHLINE RESIDENCES,"2,419,000","1,151.75","2,100",Jun-22,KIM TIAN ROAD,Resale,Strata,107,"22,607",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,01 to 05
DORSETT RESIDENCES,"1,430,000",688.9,"2,076",Jun-22,NEW BRIDGE ROAD,Resale,Strata,64,"22,344",-,Apartment,1,99 yrs lease commencing from 2009,02,Rest of Central Region,01 to 05
MONTEREY PARK CONDOMINIUM,"2,020,000","1,367.03","1,478",Jun-22,WEST COAST RISE,Resale,Strata,127,"15,906",-,Condominium,1,999 yrs lease commencing from 1885,05,Outside Central Region,01 to 05
DOVER PARKVIEW,"1,150,000",936.47,"1,228",Jun-22,DOVER RISE,Resale,Strata,87,"13,218",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
