Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PROMENADE PEAK,"2,324,200",796.54,"2,918",Sep-25,ZION PROMENADE,New Sale,Strata,74,"31,408",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,16 to 20
PROMENADE PEAK,"3,905,400","1,162.51","3,359",Sep-25,ZION PROMENADE,New Sale,Strata,108,"36,161",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,56 to 60
MARINA ONE RESIDENCES,"3,380,000","1,582.31","2,136",Sep-25,MARINA WAY,Resale,Strata,147,"22,993",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,11 to 15
RIVER PLACE,"1,546,888",796.54,"1,942",Sep-25,HAVELOCK ROAD,Resale,Strata,74,"20,904",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,06 to 10
KENT RIDGE HILL RESIDENCES,"1,290,000",645.84,"1,997",Sep-25,SOUTH BUONA VISTA ROAD,Resale,Strata,60,"21,500",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
PROMENADE PEAK,"6,658,100","1,883.7","3,535",Sep-25,ZION PROMENADE,New Sale,Strata,175,"38,046",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,61 to 65
THE HILL @ONE-NORTH,"1,898,750",775.01,"2,450",Sep-25,SLIM BARRACKS RISE,New Sale,Strata,72,"26,372",-,Apartment,1,99 yrs lease commencing from 2022,05,Rest of Central Region,06 to 10
THE SAIL @ MARINA BAY,"2,200,000",882.65,"2,492",Sep-25,MARINA BOULEVARD,Resale,Strata,82,"26,829",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,36 to 40
WEST BAY CONDOMINIUM,"1,065,000",904.18,"1,178",Sep-25,WEST COAST CRESCENT,Resale,Strata,84,"12,679",-,Condominium,1,99 yrs lease commencing from 1991,05,Outside Central Region,01 to 05
WEST BAY CONDOMINIUM,"1,675,000","1,280.92","1,308",Sep-25,WEST COAST CRESCENT,Resale,Strata,119,"14,076",-,Condominium,1,99 yrs lease commencing from 1991,05,Outside Central Region,01 to 05
HUNDRED TREES,"2,900,000","1,474.67","1,967",Sep-25,WEST COAST DRIVE,Resale,Strata,137,"21,168",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
STIRLING RESIDENCES,"1,025,000",441.32,"2,323",Sep-25,STIRLING ROAD,Resale,Strata,41,"25,000",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
PARC RIVIERA,"1,150,000",645.84,"1,781",Sep-25,WEST COAST VALE,Resale,Strata,60,"19,167",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,26 to 30
NORMANTON PARK,"1,750,000",796.54,"2,197",Sep-25,NORMANTON PARK,Sub Sale,Strata,74,"23,649",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,21 to 25
REFLECTIONS AT KEPPEL BAY,"1,950,000","1,173.28","1,662",Sep-25,KEPPEL BAY VIEW,Resale,Strata,109,"17,890",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,01 to 05
QUEENS PEAK,"968,000",430.56,"2,248",Sep-25,DUNDEE ROAD,Resale,Strata,40,"24,200",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,11 to 15
