Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
AMBER PARK,"1,712,160",678.13,"2,525",Jun-21,AMBER GARDENS,New Sale,Strata,63,"27,177",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
AMBER PARK,"2,666,640","1,108.69","2,405",Jun-21,AMBER GARDENS,New Sale,Strata,103,"25,890",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
AMBER PARK,"2,672,380","1,108.69","2,410",Jun-21,AMBER GARDENS,New Sale,Strata,103,"25,945",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
NINETEEN SHELFORD ROAD,"1,230,000",764.24,"1,609",Jun-21,SHELFORD ROAD,Resale,Strata,71,"17,324",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
AIRSTREAM,"520,000",333.68,"1,558",Jun-21,ST. MICHAEL'S ROAD,Resale,Strata,31,"16,774",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
THE TIER,"815,000",538.2,"1,514",Jun-21,PEGU ROAD,Resale,Strata,50,"16,300",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
FLAMINGO VALLEY,"2,138,999","1,388.56","1,540",Jun-21,SIGLAP ROAD,Resale,Strata,129,"16,581",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
MONARCHY APARTMENTS,"1,300,000","1,302.44",998,Jun-21,MANDALAY ROAD,Resale,Strata,121,"10,744",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
J@63,"1,589,593",904.18,"1,703",Jun-21,LORONG J TELOK KURAU,New Sale,Strata,84,"18,328","1,539,593",Apartment,1,Freehold,15,Outside Central Region,01 to 05
PARK 1 SUITES,"926,000",602.78,"1,536",Jun-21,LORONG 40 GEYLANG,Resale,Strata,56,"16,536",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
THE SHORE RESIDENCES,"2,100,000","1,291.68","1,626",Jun-21,AMBER ROAD,Resale,Strata,120,"17,500",-,Condominium,1,103 yrs lease commencing from 2009,15,Rest of Central Region,06 to 10
TREVISTA,"1,750,000","1,130.22","1,548",Jun-21,LORONG 3 TOA PAYOH,Resale,Strata,105,"16,667",-,Condominium,1,99 yrs lease commencing from 2008,12,Rest of Central Region,31 to 35
SEASIDE RESIDENCES,"2,965,000","1,485.43","1,996",Jun-21,SIGLAP LINK,Sub Sale,Strata,138,"21,486",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,16 to 20
SIMS RESIDENCES,"1,050,000","1,184.04",887,Jun-21,LORONG 39 GEYLANG,Resale,Strata,110,"9,545",-,Apartment,1,99 yrs lease commencing from 1997,14,Rest of Central Region,01 to 05
LAGOON VIEW,"1,708,000","1,646.89","1,037",Jun-21,MARINE PARADE ROAD,Resale,Strata,153,"11,163",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,16 to 20
