Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
HARBOUR RESIDENCES,"6,340,000","2,185.09","2,901",Sep-25,PASIR PANJANG ROAD,New Sale,Land,203,"31,232",-,Terrace House,1,Freehold,05,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"15,200,000","7,812.51","1,946",Sep-25,OCEAN DRIVE,Resale,Land,725.8,"20,942",-,Detached House,1,99 yrs lease commencing from 2004,04,Core Central Region,-
BLAIR PLAIN CONSERVATION AREA,"5,900,000","2,037.63","2,896",Sep-25,BLAIR ROAD,Resale,Land,189.3,"31,167",-,Terrace House,1,Freehold,02,Rest of Central Region,-
HARBOUR RESIDENCES,"5,630,000","1,983.81","2,838",Sep-25,PASIR PANJANG ROAD,New Sale,Land,184.3,"30,548",-,Terrace House,1,Freehold,05,Rest of Central Region,-
HARBOUR RESIDENCES,"5,928,000","2,046.24","2,897",Sep-25,PASIR PANJANG ROAD,New Sale,Land,190.1,"31,184",-,Terrace House,1,Freehold,05,Rest of Central Region,-
FABER HILLS,"6,600,000","5,793.18","1,139",Sep-25,FABER CRESCENT,Resale,Land,538.2,"12,263",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"13,888,888","7,637.06","1,819",Aug-25,OCEAN DRIVE,Resale,Land,709.5,"19,576",-,Detached House,1,99 yrs lease commencing from 2004,04,Core Central Region,-
WEST COAST GARDENS,"4,000,000","1,979.5","2,021",Jul-25,WEST COAST LANE,Resale,Land,183.9,"21,751",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
SPRINGWOOD,"3,900,000","2,018.25","1,932",Jul-25,SPRINGWOOD CLOSE,Resale,Land,187.5,"20,800",-,Terrace House,1,Freehold,05,Rest of Central Region,-
FABER HILLS,"6,450,000","3,569.34","1,807",Jul-25,FABER WALK,Resale,Land,331.6,"19,451",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
WEST COAST GARDENS,"4,200,000","1,982.73","2,118",Jul-25,WEST COAST GREEN,Resale,Land,184.2,"22,801",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
SPRINGWOOD,"6,200,000","3,669.45","1,690",Jun-25,SPRINGWOOD CLOSE,Resale,Land,340.9,"18,187",-,Terrace House,1,Freehold,05,Rest of Central Region,-
PASIR PANJANG GARDENS,"4,525,000","2,464.96","1,836",May-25,TAMAN MAS MERAH,Resale,Land,229,"19,760",-,Terrace House,1,Freehold,05,Outside Central Region,-
PASIR PANJANG GARDENS,"3,622,888","1,503.73","2,409",May-25,JALAN MAS KUNING,Resale,Land,139.7,"25,933",-,Terrace House,1,Freehold,05,Outside Central Region,-
WEST COAST GARDENS,"4,000,000","1,979.5","2,021",May-25,WEST COAST PLACE,Resale,Land,183.9,"21,751",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
THE CLEMENTVALE,"2,850,000","1,614.6","1,765",May-25,MAS KUNING TERRACE,Resale,Land,150,"19,000",-,Terrace House,1,99 yrs lease commencing from 1997,05,Outside Central Region,-
CHELSEA VILLAGE,"4,050,000","1,814.81","2,232",Apr-25,JAMBOL PLACE,Resale,Land,168.6,"24,021",-,Terrace House,1,Freehold,05,Rest of Central Region,-
CHESTER PARK,"6,700,000","5,497.17","1,219",Mar-25,LORONG SARHAD,Resale,Land,510.7,"13,119",-,Semi-Detached House,1,Freehold,05,Rest of Central Region,-
BLAIR PLAIN CONSERVATION AREA,"6,633,333","1,491.89","4,446",Mar-25,BLAIR ROAD,Resale,Land,138.6,"47,860",-,Terrace House,1,Freehold,02,Rest of Central Region,-
SENTOSA COVE,"14,800,000","7,934.14","1,865",Feb-25,COVE DRIVE,Resale,Land,737.1,"20,079",-,Detached House,1,99 yrs lease commencing from 2007,04,Core Central Region,-
SRI MENANTI ESTATE,"8,800,000","3,613.47","2,435",Feb-25,JERVOIS LANE,Resale,Land,335.7,"26,214",-,Semi-Detached House,1,Freehold,03,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"12,150,000","7,316.29","1,661",Jan-25,OCEAN DRIVE,Resale,Land,679.7,"17,876",-,Detached House,1,99 yrs lease commencing from 2005,04,Core Central Region,-
BANYAN PARK,"4,800,000","1,995.65","2,405",Jan-25,CHWEE CHIAN ROAD,Resale,Land,185.4,"25,890",-,Terrace House,1,Freehold,05,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"12,300,000","5,668.32","2,170",Jan-25,STIRLING ROAD,Resale,Land,526.6,"23,357",-,Detached House,1,Freehold,03,Rest of Central Region,-
WEST COAST GARDENS,"4,750,000","1,805.12","2,631",Jan-25,WEST COAST GROVE,Resale,Land,167.7,"28,324",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
WEST COAST GARDENS,"4,625,888","3,491.84","1,325",Jan-25,WEST COAST WAY,Resale,Land,324.4,"14,260",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,200,000","3,513.37","1,480",Jan-25,WISHART ROAD,Resale,Land,326.4,"15,931",-,Semi-Detached House,1,Freehold,04,Rest of Central Region,-
FABER HILLS,"7,100,000","3,999.9","1,775",Jan-25,FABER GROVE,Resale,Land,371.6,"19,107",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
FABER HILLS,"8,388,888","4,514.42","1,858",Dec-24,FABER DRIVE,Resale,Land,419.4,"20,002",-,Detached House,1,Freehold,05,Outside Central Region,-
HARBOUR RESIDENCES,"7,700,000","3,326.08","2,315",Dec-24,PASIR PANJANG ROAD,New Sale,Land,309,"24,919",-,Terrace House,1,Freehold,05,Rest of Central Region,-
WEST COAST GARDENS,"4,680,000","1,976.27","2,368",Dec-24,WEST COAST PLACE,Resale,Land,183.6,"25,490",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
CHWEE CHIAN VIEW,"4,420,000","1,921.37","2,300",Dec-24,CHWEE CHIAN VIEW,Resale,Land,178.5,"24,762",-,Terrace House,1,Freehold,05,Rest of Central Region,-
FABER HILLS,"6,880,000","4,221.64","1,630",Dec-24,FABER AVENUE,Resale,Land,392.2,"17,542",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
WEST COAST GARDENS,"3,708,000","1,783.59","2,079",Dec-24,WEST COAST GROVE,Resale,Land,165.7,"22,378",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
FABER HILLS,"7,800,000","3,765.25","2,072",Nov-24,FABER HEIGHTS,Resale,Land,349.8,"22,298",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,600,000","5,876.07","1,293",Nov-24,FABER TERRACE,Resale,Land,545.9,"13,922",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
WEST COAST GARDENS,"5,008,888","2,897.67","1,729",Nov-24,WEST COAST LANE,Resale,Land,269.2,"18,607",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
WEST COAST GARDENS,"3,650,000","1,816.96","2,009",Nov-24,WEST COAST GROVE,Resale,Land,168.8,"21,623",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,180,000","2,370.23","1,764",Nov-24,CLEMENTI ROAD,Resale,Land,220.2,"18,983",-,Terrace House,1,Freehold,05,Outside Central Region,-
WEST COAST GARDENS,"3,650,000","1,799.74","2,028",Nov-24,WEST COAST GROVE,Resale,Land,167.2,"21,830",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
FABER HILLS,"6,950,000","4,949.29","1,404",Oct-24,FABER DRIVE,Resale,Land,459.8,"15,115",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
BLAIR PLAIN CONSERVATION AREA,"5,200,000","1,415.47","3,674",Oct-24,BLAIR ROAD,Resale,Land,131.5,"39,544",-,Terrace House,1,Freehold,02,Rest of Central Region,-
VENTANA VILLAS,"4,860,000","2,353.01","2,065",Sep-24,PASIR PANJANG HILL,Resale,Land,218.6,"22,232",-,Terrace House,1,Freehold,05,Rest of Central Region,-
PASIR PANJANG GARDENS,"3,600,000","1,496.2","2,406",Sep-24,TAMAN MAS MERAH,Resale,Land,139,"25,899",-,Terrace House,1,Freehold,05,Outside Central Region,-
PASIR PANJANG GARDENS,"3,628,000","1,490.81","2,434",Sep-24,JALAN MAS PUTEH,Resale,Land,138.5,"26,195",-,Terrace House,1,Freehold,05,Outside Central Region,-
THE CLEMENTVALE,"2,780,000","2,218.46","1,253",Sep-24,MAS KUNING TERRACE,Resale,Land,206.1,"13,489",-,Terrace House,1,99 yrs lease commencing from 1997,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"14,155,000","7,967.51","1,777",Sep-24,COVE DRIVE,Resale,Land,740.2,"19,123",-,Detached House,1,99 yrs lease commencing from 2007,04,Core Central Region,-
WEST COAST GARDENS,"4,308,888","2,632.87","1,637",Aug-24,WEST COAST AVENUE,Resale,Land,244.6,"17,616",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
PASIR PANJANG GARDENS,"4,600,000","2,202.31","2,089",Jul-24,TAMAN MAS MERAH,Resale,Land,204.6,"22,483",-,Terrace House,1,Freehold,05,Outside Central Region,-
THE CLEMENTVALE,"2,800,000","1,614.6","1,734",Jul-24,MAS KUNING TERRACE,Resale,Land,150,"18,667",-,Terrace House,1,99 yrs lease commencing from 1997,05,Outside Central Region,-
FABER HILLS,"4,015,000","1,635.05","2,456",Jul-24,FABER DRIVE,Resale,Land,151.9,"26,432",-,Terrace House,1,Freehold,05,Outside Central Region,-
EALINE PARK,"5,980,000","3,597.33","1,662",Jul-24,PASIR PANJANG DRIVE,Resale,Land,334.2,"17,893",-,Terrace House,1,Freehold,05,Rest of Central Region,-
WEST COAST GARDENS,"4,700,000","2,919.2","1,610",Jul-24,WEST COAST AVENUE,Resale,Land,271.2,"17,330",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
WEST COAST GARDENS,"4,188,000","1,783.59","2,348",Jul-24,WEST COAST GROVE,Resale,Land,165.7,"25,275",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,800,000","5,597.28",679,Jul-24,SOUTH BUONA VISTA ROAD,Resale,Land,520,"7,308",-,Detached House,1,Freehold,05,Rest of Central Region,-
BANYAN PARK,"4,550,000","1,973.04","2,306",Jul-24,CHWEE CHIAN ROAD,Resale,Land,183.3,"24,823",-,Terrace House,1,Freehold,05,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,188,888","2,458.5","2,111",Jul-24,ZEHNDER ROAD,Resale,Land,228.4,"22,718",-,Semi-Detached House,1,Freehold,05,Rest of Central Region,-
CHELSEA VILLAGE,"3,680,000","1,837.41","2,003",Jun-24,JAMBOL PLACE,Resale,Land,170.7,"21,558",-,Terrace House,1,Freehold,05,Rest of Central Region,-
PASIR PANJANG GARDENS,"4,180,000","1,640.43","2,548",Jun-24,TAMAN MAS MERAH,Resale,Land,152.4,"27,428",-,Terrace House,1,Freehold,05,Outside Central Region,-
BLAIR PLAIN CONSERVATION AREA,"6,100,000","1,870.78","3,261",Jun-24,BLAIR ROAD,Resale,Land,173.8,"35,098",-,Terrace House,1,Freehold,02,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,950,000","3,232.43","1,531",Jun-24,JALAN PASIR RIA,Resale,Land,300.3,"16,484",-,Detached House,1,Freehold,05,Rest of Central Region,-
FABER HILLS,"7,330,000","5,581.13","1,313",Jun-24,FABER TERRACE,Resale,Land,518.5,"14,137",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
SPRINGWOOD,"4,094,000","1,931.06","2,120",Jun-24,SPRINGWOOD CRESCENT,Resale,Land,179.4,"22,821",-,Terrace House,1,Freehold,05,Rest of Central Region,-
WEST COAST GARDENS,"3,700,000","2,006.41","1,844",Jun-24,WEST COAST TERRACE,Resale,Land,186.4,"19,850",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
FABER HILLS,"7,000,000","5,102.14","1,372",Jun-24,FABER DRIVE,Resale,Land,474,"14,768",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,050,000","4,441.23","1,587",May-24,WEST COAST ROAD,Resale,Land,412.6,"17,087",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
FABER HILLS,"7,100,000","5,609.12","1,266",May-24,FABER TERRACE,Resale,Land,521.1,"13,625",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
WEST COAST GARDENS,"6,350,000","2,712.53","2,341",May-24,WEST COAST LANE,Resale,Land,252,"25,198",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
SHEPHERD'S HILL ESTATE,"8,200,000","4,661.89","1,759",May-24,MERINO CRESCENT,Resale,Land,433.1,"18,933",-,Detached House,1,Freehold,03,Rest of Central Region,-
WEST COAST GARDENS,"4,400,000","2,088.22","2,107",Apr-24,WEST COAST GREEN,Resale,Land,194,"22,680",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
FABER HILLS,"7,600,000","4,000.98","1,900",Apr-24,FABER GROVE,Resale,Land,371.7,"20,447",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
PASIR PANJANG GARDENS,"3,610,000","1,706.09","2,116",Apr-24,JALAN MAS KUNING,Resale,Land,158.5,"22,776",-,Terrace House,1,Freehold,05,Outside Central Region,-
WEST COAST GARDENS,"4,600,000","1,974.12","2,330",Mar-24,WEST COAST PLACE,Resale,Land,183.4,"25,082",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,900,000","2,323.95","2,108",Mar-24,LORONG SARI,Resale,Land,215.9,"22,696",-,Semi-Detached House,1,Freehold,05,Rest of Central Region,-
WEST COAST GARDENS,"4,200,000","1,807.28","2,324",Mar-24,WEST COAST AVENUE,Resale,Land,167.9,"25,015",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
SPRINGDEW TERRACE,"4,238,000","2,065.61","2,052",Mar-24,JAMBOL WALK,Resale,Land,191.9,"22,084",-,Terrace House,1,Freehold,05,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,118,888","1,905.23","2,162",Mar-24,PASIR PANJANG ROAD,Resale,Land,177,"23,271",-,Terrace House,1,Freehold,05,Rest of Central Region,-
CHWEE CHIAN VIEW,"4,188,000","1,884.78","2,222",Feb-24,CHWEE CHIAN VIEW,Resale,Land,175.1,"23,918",-,Terrace House,1,Freehold,05,Rest of Central Region,-
WEST COAST GARDENS,"4,680,000","1,982.73","2,360",Feb-24,WEST COAST TERRACE,Resale,Land,184.2,"25,407",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"16,000,000","8,674.71","1,844",Feb-24,OCEAN DRIVE,Resale,Land,805.9,"19,854",-,Detached House,1,99 yrs lease commencing from 2005,04,Core Central Region,-
WEST COAST GARDENS,"3,750,000","1,983.81","1,890",Feb-24,WEST COAST PLACE,Resale,Land,184.3,"20,347",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
WEST COAST VIEW,"4,100,000","2,459.57","1,667",Feb-24,WEST COAST VIEW,Resale,Land,228.5,"17,943",-,Terrace House,1,Freehold,05,Outside Central Region,-
WESTRIDGE,"4,500,000","2,713.6","1,658",Jan-24,WESTRIDGE WALK,Resale,Land,252.1,"17,850",-,Terrace House,1,Freehold,05,Rest of Central Region,-
BLAIR PLAIN CONSERVATION AREA,"4,950,000","1,415.47","3,497",Jan-24,BLAIR ROAD,Resale,Land,131.5,"37,643",-,Terrace House,1,Freehold,02,Rest of Central Region,-
WEST COAST GARDENS,"4,400,000","3,697.43","1,190",Dec-23,WEST COAST GREEN,Resale,Land,343.5,"12,809",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
FABER HILLS,"7,100,000","4,222.72","1,681",Dec-23,FABER AVENUE,Resale,Land,392.3,"18,098",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"13,660,000","6,555.28","2,084",Dec-23,PEARL ISLAND,Resale,Land,609,"22,430",-,Detached House,1,99 yrs lease commencing from 2008,04,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"3,888,000","1,896.62","2,050",Dec-23,PASIR PANJANG ROAD,Resale,Land,176.2,"22,066",-,Terrace House,1,Freehold,05,Rest of Central Region,-
SHEPHERD'S HILL ESTATE,"8,480,000","5,037.55","1,683",Dec-23,SHEPHERDS DRIVE,Resale,Land,468,"18,120",-,Detached House,1,Freehold,03,Rest of Central Region,-
SHEPHERD'S HILL ESTATE,"8,250,000","5,199.01","1,587",Nov-23,BARBARY WALK,Resale,Land,483,"17,081",-,Detached House,1,Freehold,03,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"22,000,000","8,401.3","2,619",Nov-23,LAKESHORE VIEW,Resale,Land,780.5,"28,187",-,Detached House,1,99 yrs lease commencing from 2005,04,Core Central Region,-
WEST COAST GARDENS,"6,500,000","4,477.82","1,452",Nov-23,WEST COAST LANE,Resale,Land,416,"15,625",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
WEST COAST GARDENS,"7,300,000","4,627.44","1,578",Oct-23,WEST COAST PARK,Resale,Land,429.9,"16,981",-,Detached House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
FABER HILLS,"7,000,000","4,196.88","1,668",Oct-23,FABER WALK,Resale,Land,389.9,"17,953",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
FABER HILLS,"6,000,000","6,703.82",895,Sep-23,FABER CRESCENT,Resale,Land,622.8,"9,634",-,Terrace House,1,Freehold,05,Outside Central Region,-
BLAIR PLAIN CONSERVATION AREA,"4,000,000",882.65,"4,532",Sep-23,SPOTTISWOODE PARK ROAD,Resale,Land,82,"48,780",-,Terrace House,1,Freehold,02,Rest of Central Region,-
SPRINGWOOD,"6,338,000","2,946.11","2,151",Sep-23,SPRINGWOOD HEIGHT,Resale,Land,273.7,"23,157",-,Terrace House,1,Freehold,05,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"8,300,000","5,350.78","1,551",Aug-23,STIRLING ROAD,Resale,Land,497.1,"16,697",-,Detached House,1,Freehold,03,Rest of Central Region,-
WEST COAST GARDENS,"3,538,000","1,805.12","1,960",Aug-23,WEST COAST AVENUE,Resale,Land,167.7,"21,097",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
FABER HILLS,"6,850,000","4,780.29","1,433",Aug-23,FABER GROVE,Resale,Land,444.1,"15,424",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
CHELSEA VILLAGE,"4,280,000","2,001.03","2,139",Aug-23,JAMBOL PLACE,Resale,Land,185.9,"23,023",-,Terrace House,1,Freehold,05,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,380,000","2,171.1","2,017",Jul-23,PASIR PANJANG ROAD,Resale,Land,201.7,"21,715",-,Semi-Detached House,1,Freehold,05,Rest of Central Region,-
FABER HILLS,"6,500,000","4,073.1","1,596",Jul-23,FABER WALK,Resale,Land,378.4,"17,178",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
