Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
D'MANOR,"2,661,888","2,723.29",977,Sep-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,253,"10,521",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
INFINIUM,"4,135,000","4,994.5",828,Sep-25,RICHARDS AVENUE,Resale,Strata,464,"8,912",-,Terrace House,1,Freehold,19,Outside Central Region,-
THE MORRIS RESIDENCES,"3,408,888","3,692.05",923,Sep-25,PAYA LEBAR CRESCENT,Resale,Strata,343,"9,938",-,Terrace House,1,Freehold,19,Outside Central Region,-
VERDANA VILLAS,"4,228,000","4,327.13",977,Sep-25,GRACE WALK,Resale,Strata,402,"10,517",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
D'MANOR,"2,600,000","2,820.17",922,Sep-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,262,"9,924",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
WATER VILLAS,"3,250,000","3,896.57",834,Sep-25,KOVAN ROAD,Resale,Strata,362,"8,978",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
HORIZON GARDENS,"2,780,000","2,873.99",967,Sep-25,ANG MO KIO AVENUE 2,Resale,Strata,267,"10,412",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
THOMSON GRAND,"4,900,000","6,135.48",799,Sep-25,SIN MING WALK,Resale,Strata,570,"8,596",-,Terrace House,1,99 yrs lease commencing from 2010,20,Rest of Central Region,-
VERDANA VILLAS,"4,300,000","4,424",972,Sep-25,GRACE WALK,Resale,Strata,411,"10,462",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
ENGLISH VILLAS,"3,800,000","7,427.16",512,Aug-25,BEDOK RISE,Resale,Strata,690,"5,507",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
D'MANOR,"2,430,000","2,723.29",892,Aug-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,253,"9,605",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
TRUSSVILLE,"3,300,000","2,970.86","1,111",Aug-25,PAYA LEBAR CRESCENT,Resale,Strata,276,"11,957",-,Terrace House,1,Freehold,19,Outside Central Region,-
LA BELLE,"3,168,000","2,691","1,177",Aug-25,RECREATION LANE,Resale,Strata,250,"12,672",-,Terrace House,1,Freehold,19,Outside Central Region,-
THE WINDSOR,"3,820,000","2,497.25","1,530",Aug-25,ONTARIO AVENUE,Resale,Strata,232,"16,466",-,Terrace House,1,Freehold,20,Rest of Central Region,01 to 05
CHARLTON VILLAS,"3,380,000","2,723.29","1,241",Aug-25,CHARLTON LANE,Resale,Strata,253,"13,360",-,Terrace House,1,Freehold,19,Outside Central Region,-
HORIZON GARDENS,"2,648,000","2,798.64",946,Aug-25,ANG MO KIO AVENUE 2,Resale,Strata,260,"10,185",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
PARKWOOD COLLECTION,"3,700,000","4,510.12",820,Aug-25,LORONG 1 REALTY PARK,Resale,Strata,419,"8,831",-,Semi-Detached House,1,99 yrs lease commencing from 2017,19,Outside Central Region,-
AFFINITY AT SERANGOON,"3,260,000","2,335.79","1,396",Aug-25,SERANGOON NORTH AVENUE 1,Resale,Strata,217,"15,023",-,Terrace House,1,99 yrs lease commencing from 2018,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"2,550,000","2,271.2","1,123",Aug-25,KOVAN ROAD,Resale,Strata,211,"12,085",-,Terrace House,1,Freehold,19,Outside Central Region,-
KEW GATE,"2,330,000","2,260.44","1,031",Aug-25,LIMAU GARDEN,Resale,Strata,210,"11,095",-,Terrace House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
PARKWOOD COLLECTION,"4,018,000","4,510.12",891,Aug-25,LORONG 1 REALTY PARK,Resale,Strata,419,"9,589",-,Semi-Detached House,1,99 yrs lease commencing from 2017,19,Outside Central Region,-
CHARLTON 27,"4,380,000","5,952.49",736,Jul-25,SURIN AVENUE,Resale,Strata,553,"7,920",-,Terrace House,1,Freehold,19,Outside Central Region,-
MARLENE VILLE,"3,700,000","2,970.86","1,245",Jul-25,MARLENE AVENUE,Resale,Strata,276,"13,406",-,Terrace House,1,Freehold,19,Outside Central Region,-
INFINIUM,"4,050,000","4,994.5",811,Jul-25,RICHARDS AVENUE,Resale,Strata,464,"8,728",-,Terrace House,1,Freehold,19,Outside Central Region,-
D'MANOR,"2,460,000","2,723.29",903,Jul-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,253,"9,723",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
ASTON RESIDENCE,"3,300,000","4,714.63",700,Jul-25,JALAN LOYANG BESAR,Resale,Strata,438,"7,534",-,Detached House,1,946 yrs lease commencing from 1938,17,Outside Central Region,01 to 05
HORIZON GARDENS,"2,930,000","3,056.98",958,Jun-25,ANG MO KIO AVENUE 2,Resale,Strata,284,"10,317",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
D'MANOR,"2,880,000","3,315.31",869,Jun-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,308,"9,351",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
SOLARIS RESIDENCES,"3,400,000","3,928.86",865,Jun-25,PAYA LEBAR CRESCENT,Resale,Strata,365,"9,315",-,Terrace House,1,Freehold,19,Outside Central Region,-
CHARLTON 18,"3,371,500","3,390.66",994,Jun-25,CHARLTON LANE,Resale,Strata,315,"10,703",-,Terrace House,1,Freehold,19,Outside Central Region,-
WATER VILLAS,"3,288,000","3,896.57",844,Jun-25,KOVAN ROAD,Resale,Strata,362,"9,083",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
SURIN VILLAS,"3,770,000","5,145.19",733,Jun-25,SURIN AVENUE,Resale,Strata,478,"7,887",-,Terrace House,1,Freehold,19,Outside Central Region,-
CENTURION 12,"4,230,000","4,294.84",985,Jun-25,BRIGHT HILL CRESCENT,Resale,Strata,399,"10,602",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
D'MANOR,"2,660,000","2,723.29",977,Jun-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,253,"10,514",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
