Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
UPPERHOUSE AT ORCHARD BOULEVARD,"2,341,000",699.66,"3,346",Sep-25,ORCHARD BOULEVARD,New Sale,Strata,65,"36,015",-,Apartment,1,99 yrs lease commencing from 2024,10,Core Central Region,16 to 20
UPPERHOUSE AT ORCHARD BOULEVARD,"2,657,000",764.24,"3,477",Sep-25,ORCHARD BOULEVARD,New Sale,Strata,71,"37,423",-,Apartment,1,99 yrs lease commencing from 2024,10,Core Central Region,31 to 35
8 SAINT THOMAS,"4,068,000","1,302.44","3,123",Sep-25,ST. THOMAS WALK,Resale,Strata,121,"33,620",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
THE ROBERTSON OPUS,"3,461,000",979.52,"3,533",Sep-25,UNITY STREET,New Sale,Strata,91,"38,033",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
CUSCADEN RESIDENCES,"3,851,800","1,485.43","2,593",Sep-25,CUSCADEN ROAD,Resale,Strata,138,"27,912",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
REGENCY PARK,"5,200,000","2,249.68","2,311",Sep-25,NATHAN ROAD,Resale,Strata,209,"24,880",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE SIERRA,"1,780,000",979.52,"1,817",Sep-25,MOUNT SINAI DRIVE,Resale,Strata,91,"19,560",-,Apartment,1,947 yrs lease commencing from 1937,10,Core Central Region,01 to 05
THE MARQ ON PATERSON HILL,"19,180,000","3,056.98","6,274",Sep-25,PATERSON HILL,Resale,Strata,284,"67,535",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
HORIZON TOWERS,"3,825,000","2,583.36","1,481",Sep-25,LEONIE HILL,Resale,Strata,240,"15,938",-,Condominium,1,99 yrs lease commencing from 1979,09,Core Central Region,01 to 05
VIZ AT HOLLAND,"1,800,000",818.06,"2,200",Sep-25,QUEENSWAY,Resale,Strata,76,"23,684",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
SPANISH VILLAGE,"3,700,000","1,700.71","2,176",Sep-25,FARRER ROAD,Resale,Strata,158,"23,418",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
BOULEVARD 88,"5,385,300","1,313.21","4,101",Sep-25,ORCHARD BOULEVARD,Resale,Strata,122,"44,142",-,Apartment,1,Freehold,10,Core Central Region,26 to 30
THE ROBERTSON OPUS,"3,281,000",979.52,"3,350",Sep-25,UNITY STREET,New Sale,Strata,91,"36,055",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,01 to 05
HILL HOUSE,"1,540,000",452.09,"3,406",Sep-25,INSTITUTION HILL,New Sale,Strata,42,"36,667",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
RIVER GREEN,"1,365,000",419.8,"3,252",Sep-25,RIVER VALLEY GREEN,New Sale,Strata,39,"35,000",-,Apartment,1,99 yrs lease commencing from 2024,09,Core Central Region,26 to 30
