Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
GRAND DUNMAN,"4,339,000","1,689.95","2,568",Sep-25,DUNMAN ROAD,New Sale,Strata,157,"27,637",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05
AMBER HOUSE,"3,535,718","1,216.33","2,907",Sep-25,AMBER GARDENS,New Sale,Strata,113,"31,290",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
ONE LEICESTER,"2,288,888","1,151.75","1,987",Sep-25,LEICESTER ROAD,Resale,Strata,107,"21,391",-,Condominium,1,Freehold,13,Rest of Central Region,11 to 15
THE CONTINUUM,"3,501,000","1,237.86","2,828",Sep-25,THIAM SIEW AVENUE,New Sale,Strata,115,"30,443",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
AMARYLLIS VILLE,"1,890,000",958,"1,973",Sep-25,NEWTON ROAD,Resale,Strata,89,"21,236",-,Condominium,1,99 yrs lease commencing from 1997,11,Core Central Region,01 to 05
ARINA EAST RESIDENCES,"2,400,000",796.54,"3,013",Sep-25,TANJONG RHU ROAD,New Sale,Strata,74,"32,432",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
BEACON HEIGHTS,"1,740,000","1,108.69","1,569",Sep-25,MAR THOMA ROAD,Resale,Strata,103,"16,893",-,Condominium,1,999 yrs lease commencing from 1882,12,Rest of Central Region,16 to 20
SKY@ELEVEN,"5,150,000","2,271.2","2,268",Sep-25,THOMSON LANE,Resale,Strata,211,"24,408",-,Condominium,1,Freehold,11,Core Central Region,16 to 20
TEMBUSU GRAND,"4,040,000","1,711.48","2,361",Sep-25,JALAN TEMBUSU,New Sale,Strata,159,"25,409",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05
SUMMER GREEN,"1,800,000","1,291.68","1,394",Sep-25,BOON TECK ROAD,Resale,Strata,120,"15,000",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
GRAND DUNMAN,"3,719,000","1,474.67","2,522",Sep-25,DUNMAN ROAD,New Sale,Strata,137,"27,146",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05
GRAND DUNMAN,"4,432,000","1,926.76","2,300",Sep-25,DUNMAN ROAD,New Sale,Strata,179,"24,760",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10
GRAND DUNMAN,"4,437,000","1,926.76","2,303",Sep-25,DUNMAN ROAD,New Sale,Strata,179,"24,788",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10
PARC BLEU,"1,288,800","1,001.05","1,287",Sep-25,JOO CHIAT PLACE,Resale,Strata,93,"13,858",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
GALAXY TOWERS,"1,530,000","1,065.64","1,436",Sep-25,ONAN ROAD,Resale,Strata,99,"15,455",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SHAW PLAZA - TWIN HEIGHTS,"2,520,000","1,420.85","1,774",Sep-25,BALESTIER ROAD,Resale,Strata,132,"19,091",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
THE TRE VER,"2,300,000","1,054.87","2,180",Sep-25,POTONG PASIR AVENUE 1,Resale,Strata,98,"23,469",-,Condominium,1,99 yrs lease commencing from 2018,13,Rest of Central Region,06 to 10
KOON SENG HOUSE,"1,819,000",785.77,"2,315",Sep-25,KOON SENG ROAD,New Sale,Strata,73,"24,918",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
PARC ESTA,"1,470,000",635.08,"2,315",Sep-25,SIMS AVENUE,Resale,Strata,59,"24,915",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,11 to 15
