Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
J'DEN,"1,729,000",710.42,"2,434",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,66,"26,197",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,16 to 20
J'DEN,"3,563,000","1,485.43","2,399",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,138,"25,819",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,16 to 20
J'DEN,"2,603,000","1,140.98","2,281",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,106,"24,557",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,16 to 20
J'DEN,"2,705,000","1,184.04","2,285",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,110,"24,591",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,16 to 20
J'DEN,"2,625,000","1,140.98","2,301",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,106,"24,764",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,21 to 25
J'DEN,"3,152,000","1,259.39","2,503",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,117,"26,940",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,26 to 30
J'DEN,"2,173,000",818.06,"2,656",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,76,"28,592",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,26 to 30
J'DEN,"3,182,000","1,259.39","2,527",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,117,"27,197",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,26 to 30
J'DEN,"2,242,000",850.36,"2,637",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,79,"28,380",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,26 to 30
J'DEN,"2,750,000","1,140.98","2,410",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,106,"25,943",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,26 to 30
J'DEN,"3,242,000","1,259.39","2,574",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,117,"27,709",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,31 to 35
J'DEN,"2,978,000","1,184.04","2,515",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,110,"27,073",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,31 to 35
J'DEN,"3,837,000","1,485.43","2,583",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,138,"27,804",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,31 to 35
