Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SERANGOON GARDEN ESTATE,"3,588,000","1,839.57","1,950",Sep-25,CONWAY GROVE,Resale,Land,170.9,"20,995",-,Terrace House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,330,000","2,966.56","1,797",Sep-25,HILLSIDE DRIVE,Resale,Land,275.6,"19,340",-,Semi-Detached House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
PARRY GREEN,"2,788,888","1,619.98","1,722",Sep-25,LIMBOK TERRACE,Resale,Land,150.5,"18,531",-,Terrace House,1,99 yrs lease commencing from 1996,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"10,688,888","11,745.68",910,Sep-25,JALAN HAJIJAH,Resale,Land,"1,091.2","9,796",-,Detached House,1,Freehold,16,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"3,128,000","1,500.5","2,085",Sep-25,CASUARINA ROAD,Resale,Land,139.4,"22,439",-,Terrace House,1,Freehold,20,Outside Central Region,-
PEAKVIEW ESTATE,"6,000,000","3,304.55","1,816",Sep-25,JALAN PARI DEDAP,Resale,Land,307,"19,544",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
PEAKVIEW ESTATE,"4,800,000","3,277.64","1,464",Sep-25,JALAN PARI KIKIS,Resale,Land,304.5,"15,764",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,200,000","3,943.93",811,Sep-25,JALAN PERGAM,Resale,Land,366.4,"8,734",-,Semi-Detached House,1,99 yrs lease commencing from 1965,16,Outside Central Region,-
SPRING PARK ESTATE,"5,980,000","3,560.73","1,679",Sep-25,JALAN REMIS,Resale,Land,330.8,"18,077",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
THOMSON RISE ESTATE,"13,100,000","5,603.74","2,338",Sep-25,JALAN BINCHANG,Resale,Land,520.6,"25,163",-,Detached House,1,Freehold,20,Rest of Central Region,-
