Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
KINGSFORD WATERBAY,"1,145,000",850.36,"1,346",May-21,UPPER SERANGOON VIEW,Resale,Strata,79,"14,494",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
EAST MEADOWS,"1,330,000","1,356.26",981,May-21,TANAH MERAH KECHIL ROAD,Resale,Strata,126,"10,556",-,Condominium,1,99 yrs lease commencing from 1998,16,Outside Central Region,01 to 05
PARC VERA,"928,000",871.88,"1,064",May-21,HOUGANG STREET 32,Resale,Strata,81,"11,457",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
TANGERINE GROVE,"1,560,000","1,194.8","1,306",May-21,PAYA LEBAR CRESCENT,Resale,Strata,111,"14,054",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
STARS OF KOVAN,"1,200,000",764.24,"1,570",May-21,UPPER SERANGOON ROAD,Sub Sale,Strata,71,"16,901",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10
FLO RESIDENCE,"925,000","1,011.82",914,May-21,PUNGGOL FIELD WALK,Resale,Strata,94,"9,840",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
CASA MERAH,"1,700,000","1,539.25","1,104",May-21,TANAH MERAH KECHIL AVENUE,Resale,Strata,143,"11,888",-,Apartment,1,99 yrs lease commencing from 2006,16,Outside Central Region,06 to 10
RIVER ISLES,"1,260,000","1,420.85",887,May-21,EDGEDALE PLAINS,Resale,Strata,132,"9,545",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
WATERVIEW,"1,240,000","1,130.22","1,097",May-21,TAMPINES AVENUE 1,Resale,Strata,105,"11,810",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
DOUBLE BAY RESIDENCES,"1,328,000","1,270.15","1,046",May-21,SIMEI STREET 4,Resale,Strata,118,"11,254",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
ESTELLA GARDENS,"860,000",936.47,918,May-21,FLORA ROAD,Resale,Strata,87,"9,885",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
SUITES @ PAYA LEBAR,"610,000",409.03,"1,491",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,38,"16,053",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
PARC OLYMPIA,"660,000",656.6,"1,005",May-21,FLORA DRIVE,Resale,Strata,61,"10,820",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
THE JOVELL,"954,100",721.19,"1,323",May-21,FLORA DRIVE,New Sale,Strata,67,"14,240",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"1,812,000","1,334.74","1,358",May-21,TAMPINES LANE,New Sale,Strata,124,"14,613",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"989,000",656.6,"1,506",May-21,TAMPINES LANE,New Sale,Strata,61,"16,213",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,010,000",678.13,"1,489",May-21,TAMPINES LANE,New Sale,Strata,63,"16,032",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"1,007,000",656.6,"1,534",May-21,TAMPINES LANE,New Sale,Strata,61,"16,508",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
SENGKANG GRAND RESIDENCES,"1,760,000","1,011.82","1,739",May-21,COMPASSVALE BOW,New Sale,Strata,94,"18,723",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,692,800","1,011.82","1,673",May-21,COMPASSVALE BOW,New Sale,Strata,94,"18,009",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,592,000",936.47,"1,700",May-21,COMPASSVALE BOW,New Sale,Strata,87,"18,299",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"2,575,000","1,679.18","1,533",May-21,HOUGANG AVENUE 2,New Sale,Strata,156,"16,506",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,539,000","1,011.82","1,521",May-21,HOUGANG AVENUE 2,New Sale,Strata,94,"16,372",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,016,000",635.08,"1,600",May-21,HOUGANG AVENUE 2,New Sale,Strata,59,"17,220",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
JADESCAPE,"2,968,000","1,646.89","1,802",May-21,SHUNFU ROAD,New Sale,Strata,153,"19,399",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
THE JOVELL,"984,800",721.19,"1,366",May-21,FLORA DRIVE,New Sale,Strata,67,"14,699",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,06 to 10
KOVAN MELODY,"1,400,000","1,227.1","1,141",May-21,KOVAN ROAD,Resale,Strata,114,"12,281",-,Condominium,1,99 yrs lease commencing from 2004,19,Outside Central Region,11 to 15
BOTANIQUE AT BARTLEY,"750,000",516.67,"1,452",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,48,"15,625",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
THE JOVELL,"1,308,400","1,033.34","1,266",May-21,FLORA DRIVE,New Sale,Strata,96,"13,629",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"1,300,000",914.94,"1,421",May-21,TAMPINES LANE,New Sale,Strata,85,"15,294",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
BAYSHORE PARK,"1,268,000","1,173.28","1,081",May-21,BAYSHORE ROAD,Resale,Strata,109,"11,633",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,21 to 25
SAVANNAH CONDOPARK,"1,269,000","1,453.14",873,May-21,SIMEI RISE,Resale,Strata,135,"9,400",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05
COSTA DEL SOL,"1,530,000","1,237.86","1,236",May-21,BAYSHORE ROAD,Resale,Strata,115,"13,304",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
URBAN VISTA,"675,000",538.2,"1,254",May-21,TANAH MERAH KECHIL LINK,Resale,Strata,50,"13,500",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,01 to 05
BAYOU RESIDENCE,"1,100,000",936.47,"1,175",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,87,"12,644",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
SAVANNAH CONDOPARK,"1,010,000","1,227.1",823,May-21,SIMEI RISE,Resale,Strata,114,"8,860",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05
THE ALPS RESIDENCES,"640,000",505.91,"1,265",May-21,TAMPINES STREET 86,Sub Sale,Strata,47,"13,617",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,06 to 10
THE MINTON,"1,060,000",936.47,"1,132",May-21,HOUGANG STREET 11,Resale,Strata,87,"12,184",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
BEDOK RESIDENCES,"1,400,000",850.36,"1,646",May-21,BEDOK NORTH DRIVE,Resale,Strata,79,"17,722",-,Apartment,1,99 yrs lease commencing from 2011,16,Outside Central Region,11 to 15
WATERVIEW,"1,390,000","1,323.97","1,050",May-21,TAMPINES AVENUE 1,Resale,Strata,123,"11,301",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
BOTANIQUE AT BARTLEY,"1,000,000",656.6,"1,523",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,61,"16,393",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
BOTANIQUE AT BARTLEY,"1,200,000",731.95,"1,639",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,68,"17,647",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
BEDOK RESIDENCES,"1,260,000",925.7,"1,361",May-21,BEDOK NORTH DRIVE,Resale,Strata,86,"14,651",-,Apartment,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
PALM ISLES,"570,000",516.67,"1,103",May-21,FLORA DRIVE,Resale,Strata,48,"11,875",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
