Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PINETREE HILL,"3,062,000","1,216.33","2,517",Sep-25,PINE GROVE,New Sale,Strata,113,"27,097",-,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,16 to 20
THE LAKEGARDEN RESIDENCES,"2,480,000","1,097.93","2,259",Sep-25,YUAN CHING ROAD,New Sale,Strata,102,"24,314",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,16 to 20
PINETREE HILL,"2,123,000",796.54,"2,665",Sep-25,PINE GROVE,New Sale,Strata,74,"28,689",-,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,21 to 25
NAVA GROVE,"3,347,400","1,334.74","2,508",Sep-25,PINE GROVE,New Sale,Strata,124,"26,995",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,16 to 20
ROSEWOOD,"1,270,000","1,173.28","1,082",Sep-25,ROSEWOOD DRIVE,Resale,Strata,109,"11,651",-,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"1,727,200",882.65,"1,957",Sep-25,CANBERRA CRESCENT,New Sale,Strata,82,"21,063",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
THE WARREN,"1,220,000","1,065.64","1,145",Sep-25,CHOA CHU KANG LOOP,Resale,Strata,99,"12,323",-,Condominium,1,99 yrs lease commencing from 2001,23,Outside Central Region,01 to 05
THE LAKEGARDEN RESIDENCES,"2,486,000","1,108.69","2,242",Sep-25,YUAN CHING ROAD,New Sale,Strata,103,"24,136",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,11 to 15
PINETREE HILL,"3,082,000","1,216.33","2,534",Sep-25,PINE GROVE,New Sale,Strata,113,"27,274",-,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,21 to 25
CANBERRA CRESCENT RESIDENCES,"1,335,800",667.37,"2,002",Sep-25,CANBERRA CRESCENT,New Sale,Strata,62,"21,545",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
THE WATERGARDENS AT CANBERRA,"1,370,000",753.48,"1,818",Sep-25,CANBERRA DRIVE,Sub Sale,Strata,70,"19,571",-,Apartment,1,99 yrs lease commencing from 2020,27,Outside Central Region,01 to 05
MERALODGE,"3,050,000","1,915.99","1,592",Sep-25,HILLVIEW AVENUE,Resale,Strata,178,"17,135",-,Condominium,1,Freehold,23,Outside Central Region,06 to 10
LAKEVILLE,"1,270,000",721.19,"1,761",Sep-25,JURONG LAKE LINK,Resale,Strata,67,"18,955",-,Condominium,1,99 yrs lease commencing from 2013,22,Outside Central Region,11 to 15
NAVA GROVE,"3,416,600","1,334.74","2,560",Sep-25,PINE GROVE,New Sale,Strata,124,"27,553",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,11 to 15
SYMPHONY HEIGHTS,"1,768,000",990.29,"1,785",Sep-25,HUME AVENUE,Resale,Strata,92,"19,217",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
THE ARDEN,"2,027,000","1,108.69","1,828",Sep-25,PHOENIX ROAD,New Sale,Strata,103,"19,680",-,Apartment,1,99 years leasehold,23,Outside Central Region,01 to 05
PARC BOTANNIA,"1,750,000",979.52,"1,787",Sep-25,FERNVALE STREET,Resale,Strata,91,"19,231",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,11 to 15
KINGSFORD . HILLVIEW PEAK,"1,236,000",904.18,"1,367",Sep-25,HILLVIEW RISE,Resale,Strata,84,"14,714",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
DAINTREE RESIDENCE,"2,300,000","1,108.69","2,075",Sep-25,TOH TUCK ROAD,Resale,Strata,103,"22,330",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
HILLION RESIDENCES,"1,330,000",710.42,"1,872",Sep-25,JELEBU ROAD,Resale,Strata,66,"20,152",-,Apartment,1,99 yrs lease commencing from 2013,23,Outside Central Region,11 to 15
PARC BOTANNIA,"1,280,000",785.77,"1,629",Sep-25,FERNVALE STREET,Resale,Strata,73,"17,534",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,16 to 20
YISHUN EMERALD,"1,580,000","1,399.32","1,129",Sep-25,CANBERRA DRIVE,Resale,Strata,130,"12,154",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,06 to 10
THE MAYFAIR,"1,460,000","1,162.51","1,256",Sep-25,JURONG EAST STREET 32,Resale,Strata,108,"13,519",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,06 to 10
LENTORIA,"2,844,000","1,205.57","2,359",Sep-25,LENTOR HILLS ROAD,New Sale,Strata,112,"25,393",-,Condominium,1,99 yrs lease commencing from 2022,26,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"1,336,700",667.37,"2,003",Sep-25,CANBERRA CRESCENT,New Sale,Strata,62,"21,560",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
ROSEWOOD SUITES,"1,070,000",990.29,"1,080",Sep-25,ROSEWOOD DRIVE,Resale,Strata,92,"11,630",-,Condominium,1,99 yrs lease commencing from 2008,25,Outside Central Region,01 to 05
THE MYST,"2,977,000","1,517.72","1,961",Sep-25,UPPER BUKIT TIMAH ROAD,New Sale,Strata,141,"21,113",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,06 to 10
SYMPHONY SUITES,"1,020,000",796.54,"1,281",Sep-25,YISHUN CLOSE,Resale,Strata,74,"13,784",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
MI CASA,"1,688,000","1,259.39","1,340",Sep-25,CHOA CHU KANG AVENUE 3,Resale,Strata,117,"14,427",-,Condominium,1,99 yrs lease commencing from 2008,23,Outside Central Region,11 to 15
THE WATERGARDENS AT CANBERRA,"1,945,000","1,108.69","1,754",Sep-25,CANBERRA DRIVE,Sub Sale,Strata,103,"18,883",-,Apartment,1,99 yrs lease commencing from 2020,27,Outside Central Region,01 to 05
HUME PARK I,"2,700,000","1,496.2","1,805",Sep-25,HUME AVENUE,Resale,Strata,139,"19,424",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
KANDIS RESIDENCE,"735,000",495.14,"1,484",Sep-25,KANDIS LINK,Resale,Strata,46,"15,978",-,Condominium,1,99 yrs lease commencing from 2016,27,Outside Central Region,01 to 05
TERRENE AT BUKIT TIMAH,"3,150,000","1,550.02","2,032",Sep-25,JALAN JURONG KECHIL,Resale,Strata,144,"21,875",-,Condominium,1,999 yrs lease commencing from 1885,21,Rest of Central Region,01 to 05
LENTORIA,"2,945,000","1,205.57","2,443",Sep-25,LENTOR HILLS ROAD,New Sale,Strata,112,"26,295",-,Condominium,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20
