Attributes TYPE_CD,type_description,inc_crc,last_updated,longitude,latitude
TSTAND,TAXI STAND,E06D30ABBA6D9E8A,2022-01-27 10:59:13,103.874142348734,1.34945201218483
TSTAND,TAXI STAND,D1DD0F46BCFE4110,2022-01-27 10:59:13,103.849587840571,1.30543468547573
TSTAND,TAXI STAND,873C888E532653E1,2022-01-27 10:59:13,103.845233591368,1.3005423815208
TSTAND,TAXI STAND,1E7A0CB4B8F50C94,2022-01-27 10:59:13,103.847482779794,1.29916957666779
TSTAND,TAXI STAND,238FE9DDCE1B3B85,2022-01-27 10:59:13,103.844897556949,1.29815276734969
TSTAND,TAXI STAND,4DD00B19491CC140,2022-01-27 10:59:13,103.843952897275,1.29701855154767
TSTAND,TAXI STAND,DC04A85330C1D8E6,2022-01-27 10:59:13,103.850958035402,1.30294684116502
TSTAND,TAXI STAND,C014C100AD13D5B1,2022-01-27 10:59:13,103.852669234486,1.29999408760401
TSTAND,TAXI STAND,E6AA07D81C875AA4,2022-01-27 10:59:13,103.85040522423,1.29618030461839
TSTOP,TAXI STOP,695279672A8F7620,2022-01-27 10:59:13,103.849155884287,1.29770899404959
TSTOP,TAXI STOP,5B692582270F96DB,2022-01-27 10:59:13,103.84931927401,1.29746231938147
TPD,TAXI PICK UP / DROP OFF,869A7A3C5C527E12,2022-01-27 10:59:13,103.852593234695,1.295723358519
TSTAND,TAXI STAND,A0E030C823E0A9ED,2022-01-27 10:59:13,103.820099996087,1.30730541792613
TSTAND,TAXI STAND,48417877221F8B52,2022-01-27 10:59:13,103.697628395346,1.33775966228173
TSTOP,TAXI STOP,7553BFFF7E5CCA9A,2022-01-27 10:59:13,103.850268644432,1.29843731787623
TSTAND,TAXI STAND,BA3D5F246A1208F0,2022-01-27 10:59:13,103.788253655729,1.30645389955873
TPD,TAXI PICK UP / DROP OFF,65C1484E79E0F893,2022-01-27 10:59:13,103.835903782393,1.3046418198392
TSTAND,TAXI STAND,2AE4860E21B192B5,2022-01-27 10:59:13,103.877026783852,1.30380165282811
TSTAND,TAXI STAND,C663E1591FB3EBCD,2022-01-27 10:59:13,103.902691834627,1.40487799938092
TSTAND,TAXI STAND,E035E3280A696CD7,2022-01-27 10:59:13,103.835487279722,1.30436251712159
TSTOP,TAXI STOP,52605B8853CE3860,2022-01-27 10:59:13,103.837644041473,1.30343433854172
TSTAND,TAXI STAND,B4EF603A8B684EEB,2022-01-27 10:59:13,103.836183171941,1.303792885995
TSTAND,TAXI STAND,1F3D624744093FA9,2022-01-27 10:59:13,103.833800509223,1.30419408730169
TSTAND,TAXI STAND,45C41FADDBCBBFE6,2022-01-27 10:59:13,103.833348355253,1.30740800617176
TPD,TAXI PICK UP / DROP OFF,BABE3BFE550399EA,2022-01-27 10:59:13,103.835594566885,1.30716132428747
TPD,TAXI PICK UP / DROP OFF,86CEFD0DCD03E580,2022-01-27 10:59:13,103.8368234856,1.30157395203367
TSTOP,TAXI STOP,6E2137CF6A4524B0,2022-01-27 10:59:13,103.850407275961,1.29112544885142
TSTOP,TAXI STOP,71BD89F09E29EFEA,2022-01-27 10:59:13,103.852906624501,1.29447576136768
TSTOP,TAXI STOP,D2561199A354B48C,2022-01-27 10:59:13,103.848185471196,1.29435646901008
TSTAND,TAXI STAND,FD4B8073197780F5,2022-01-27 10:59:13,103.841696653926,1.28175441939784
TSTAND,TAXI STAND,4B7BE928139962F1,2022-01-27 10:59:13,103.840639419634,1.28038085239576
TSTAND,TAXI STAND,A9D48C8A780443BD,2022-01-27 10:59:13,103.839130334904,1.28125493764739
TSTAND,TAXI STAND,A2877FE52AAAB88B,2022-01-27 10:59:13,103.841832427076,1.27886665420062
TSTAND,TAXI STAND,9AFE34BF1B0C6507,2022-01-27 10:59:13,103.84090245806,1.28203976981784
TSTOP,TAXI STOP,3B9A758A7E1B1540,2022-01-27 10:59:13,103.844699362115,1.28739548869829
TSTAND,TAXI STAND,8FE22EC458B3A772,2022-01-27 10:59:13,103.841979319312,1.28402050189845
TSTAND,TAXI STAND,060E030D81242029,2022-01-27 10:59:13,103.844821469958,1.28553688808796
TSTOP,TAXI STOP,644441229A5ED4E5,2022-01-27 10:59:13,103.929670667443,1.30549202571486
TSTAND,TAXI STAND,D35D50DA98383CB4,2022-01-27 10:59:13,103.843199238303,1.28540490104916
TSTOP,TAXI STOP,316305BD317F0BB1,2022-01-27 10:59:13,103.990284706852,1.3611460814108
TSTOP,TAXI STOP,145C8288526588C7,2022-01-27 10:59:13,103.988541379069,1.35582439289952
TSTAND,TAXI STAND,3B272F3BCDFA919D,2022-01-27 10:59:13,103.824906137113,1.27413178386168
TSTAND,TAXI STAND,CD6644DD01D0EBDE,2022-01-27 10:59:13,103.785077184935,1.43635042684264
TSTAND,TAXI STAND,0E99ACABD1B278DF,2022-01-27 10:59:13,103.742979275489,1.33229479264521
TSTAND,TAXI STAND,BD32DAC3A4B06C68,2022-01-27 10:59:13,103.894052752271,1.31475239045923
TSTAND,TAXI STAND,6413FBDC835D519A,2022-01-27 10:59:13,103.795443671077,1.31005494993664
TSTAND,TAXI STAND,AF0F2BAC2A4C5054,2022-01-27 10:59:13,103.751503199574,1.35881140853229
TSTAND,TAXI STAND,36969B4466AC5BE9,2022-01-27 10:59:13,103.823159290027,1.26510488264276
TSTAND,TAXI STAND,7CAB79E3EF56F2BE,2022-01-27 10:59:13,103.835789752897,1.31629199015284
TSTAND,TAXI STAND,3D014C0C071BEF22,2022-01-27 10:59:13,103.853220659256,1.31249149822018
TSTAND,TAXI STAND,6559438DE6DD616D,2022-01-27 10:59:13,103.853590891473,1.31262975902036
TSTAND,TAXI STAND,EC13023A71B0930F,2022-01-27 10:59:13,103.895268317679,1.39263254097031
TSTOP,TAXI STOP,9FE56E1414F55D78,2022-01-27 10:59:13,103.856424175899,1.29893243204719
TSTOP,TAXI STOP,2520805F3B28EB9A,2022-01-27 10:59:13,103.846081627544,1.29624001198124
TPD,TAXI PICK UP / DROP OFF,A190CCB235C21638,2022-01-27 10:59:13,103.856686628381,1.29237922984712
TSTAND,TAXI STAND,0C9E9D86BF0A2449,2022-01-27 10:59:13,103.859847473744,1.29153065215653
TSTAND,TAXI STAND,D718217F13A78565,2022-01-27 10:59:13,103.858656268701,1.29534702941043
TSTAND,TAXI STAND,E560E5A744032408,2022-01-27 10:59:13,103.859507617635,1.29498128475113
TSTAND,TAXI STAND,2672EA8173D4D5BF,2022-01-27 10:59:13,103.857872556686,1.29161937311898
TSTAND,TAXI STAND,D3851346C967175B,2022-01-27 10:59:13,103.860595017926,1.29283496426735
TSTAND,TAXI STAND,CF8858433E7678B4,2022-01-27 10:59:13,103.856291387918,1.28982162200966
TSTAND,TAXI STAND,B05B872A0B4784EC,2022-01-27 10:59:13,103.856945313631,1.292803722702
TPD,TAXI PICK UP / DROP OFF,BE48395617E597E6,2022-01-27 10:59:13,103.853718463413,1.29333906334958
TSTAND,TAXI STAND,56B697A4857230F8,2022-01-27 10:59:13,103.849281485147,1.29420695272235
TSTAND,TAXI STAND,6D127919771C3D36,2022-01-27 10:59:13,103.80942338257,1.27348368420322
TSTOP,TAXI STOP,0D8758E67E094D82,2022-01-27 10:59:13,103.985117442636,1.3394746541261
TSTAND,TAXI STAND,3E1D245293FA9906,2022-01-27 10:59:13,103.988343199979,1.31437071758525
TSTOP,TAXI STOP,A14221287959F1F2,2022-01-27 10:59:13,103.85218281989,1.29807284976427
TSTAND,TAXI STAND,67D4B43242DDA1BF,2022-01-27 10:59:13,103.839350784754,1.34941741718287
TPD,TAXI PICK UP / DROP OFF,ECCB743669738218,2022-01-27 10:59:13,103.852736813349,1.29730959605001
TSTAND,TAXI STAND,E9A9289695275718,2022-01-27 10:59:13,103.857019659968,1.29716395029751
TSTAND,TAXI STAND,5C4DD6DEC1DC9834,2022-01-27 10:59:13,103.855413484881,1.29623768830078
TSTAND,TAXI STAND,C6121A19D082C3ED,2022-01-27 10:59:13,103.855608532403,1.30000940849313
TSTAND,TAXI STAND,A3A442344C5C5BD1,2022-01-27 10:59:13,103.924013555763,1.33809963065025
TSTAND,TAXI STAND,C59ECB41066149A6,2022-01-27 10:59:13,103.89292071988,1.37148195585088
