Attributes ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,postal_code,street_address,ADDRESSTYPE,DESCRIPTION,website,LANDXADDRESSPOINT,LANDYADDRESSPOINT,facility_name,PHOTOURL,ADDRESSFLOORNUMBER,INC_CRC,last_updated,ADDRESSUNITNUMBER,longitude,latitude
,,648886,1 Jurong West Central 2 #04-03 Jurong Point Shopping Centre Singapore,,,http://www.hwa.org.sg,0,0,Handicaps Welfare Association (Jurong Branch),,,92BA1ED4BB6ECE5C,20121122110129,,103.706685012672,1.33945200425206
,,650267,Blk 267 Bukit Batok East Avene 4 #01-206 Singapore,,,http://www.sacs.org.sg,0,0,Singapore Anglican Community Services Community Rehabilitation and Support Service (Bukit Batok East),,,AF821B89CD7593F5,20121122110129,,103.76007533243,1.34869173301638
,,760707,Blk 707 Yishun Ave 5 #01-36 Singapore,,,http://www.sacs.org.sg,0,0,Singapore Anglican Community Services Community Rehabilitation and Support Service (Yishun),,,84288761310FE8D0,20121122110130,,103.827717290654,1.4289299547588
,,534194,20 Buangkok View Buangkok Green Medical Park Singapore,,,http://www.sacshcc.org.sg,0,0,Singapore Anglican Community Services Hougang Care Centre,,,2B656C15E6646FF1,20121122110130,,103.883504147053,1.38291629348143
,,168955,2 Peng Nguan Street SPD Ability Centre Singapore,,,http://www.spd.org.sg,0,0,Society for the Physically Disabled (Peng Nguan Street),,,10CD98481A06F558,20121122110130,,103.831105756194,1.28197433392447
,,168955,2 Peng Nguan Street SPD Ability Centre Singapore,,,http://www.spd.org.sg,0,0,Society for the Physically Disabled (Peng Nguan Street) Specialised Assistive Technology Centre,,,10CD98484189B2AC,20121122110130,,103.831105756194,1.28197433392447
,,140150,150A Mei Chin Road #02-01 Singapore,,,http://www.thkmc.org.sg,0,0,Thye Hua Kwan Moral Charities (THKMC) THK Therapy Services,,,57735BD1CE579880,20121122110130,,103.803820595583,1.29536889835833
,,579798,6 Bishan Street 13 Singapore,,,http://www.welcome.bishanhome.org.sg,0,0,Bishan Home for the Intellectually Disabled,,,94C04E8F591235A0,20121122110130,,103.855024628398,1.34759124293191
,,738580,2 Woodlands Street 31 Singapore,,,http://www.metta.org.sg,0,0,Metta Welfare Association Metta Home for the Disabled,,,78EF640731FC7CFC,20121122110130,,103.775665594615,1.42937863318425
,,547533,7 Lorong Napiri Singapore,,,http://www.minds.org.sg/MVH/index.html,0,0,Movement for the Intellectually Disabled of Singapore (MINDS) MINDSVille@Napiri - Home,,,5B0A43260ECACC4B,20121122110130,,103.878470820482,1.37201049307311
,,534194,20 Buangkok View Buangkok Green Medical Park Singapore,,,http://www.sacshcc.org.sg,0,0,Singapore Anglican Community Services Hougang Care Centre,,,2B656C15E6646FF1,20121122110130,,103.883504147053,1.38291629348143
,,556056,159 Serangoon Garden Way Singapore,,,http://www.cheshirehome.org.sg,0,0,Singapore Cheshire Home,,,7B2663F9EF9AE624,20121122110131,,103.861242810238,1.3658088840667
,,159052,No. 8 Lengkok Bahru #04-01 Family Link @ Lengkok Bahru Singapore,,,http://www.redcross.org.sg,0,0,Singapore Red Cross Society Red Cross Home for the Disabled,,,E34D6163A5961112,20121122110131,,103.811251369424,1.2864500139675
,,397998,227 Mountbatten Road Singapore,,,http://www.sadeaf.org.sg,0,0,The Singapore Association for the Deaf SADeaf Hearing Care Centre,,,CBECC49AD3067FBD,20121219111651,,103.879886320646,1.30762025848808
,,547531,9 Lorong Napiri Singapore,,,http://www.awwa.org.sg,0,0,Asian Women's Welfare Association (AWWA) AWWA SMILES,,,0845E21217845213,20121122110138,,103.878744070732,1.37273748346619
,,469717,300 Bedok North Avenue 3 Singapore,,,http://www.bccsc.org,0,0,Bethesda Sunshine Club Student Care Centre,,,0EE2ABC168563004,20121122110138,,103.934743786302,1.33121916322563
,,609791,201 Jurong East Avenue 1 Singapore,,,http://www.thongkheng.org.sg,0,0,Thong Kheng Welfare Services Society Blue Cross Thong Kheng Home,,,9DB40BF53CEA7821,20121219111651,,103.728979102459,1.3495663654738
,,600244,Blk 244 Jurong East Street 24 #01-593 Singapore,,,http://www.perdaus.org.sg,0,0,Perdaus Student Care Centre,,,D831CA14FC980C8F,20121122110138,,103.742136901715,1.34263000877356
,,460534,Blk 534 Bedok North Street 3 #01-81406 Singapore,,,http://www.thkms.org.sg,0,0,Thye Hua Kwan Moral Society (THKMS) Moral Student Care Centre (Bedok North),,,19424BB28372705C,20121122110138,,103.924895036761,1.33301559414602
,,038988,8 Temasek Boulevard Suntec Tower 3 #08-04 Singapore,,,http://www.chcsa.org.sg,0,0,City Harvest Community Services Association RAYZ Me Up Program,,,ED13FDCC510A9C6A,20121219111642,,103.859567408506,1.29524469663896
