Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SIN CHUAN GARDEN,"5,400,000","3,457.4","1,562",Sep-25,WARINGIN WALK,Resale,Land,321.2,"16,812",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,650,000","2,327.18","2,428",Sep-25,JOO CHIAT PLACE,Resale,Land,216.2,"26,133",-,Terrace House,1,Freehold,15,Rest of Central Region,-
KEMBANGAN ESTATE,"5,075,000","3,587.64","1,415",Sep-25,LORONG MELAYU,Resale,Land,333.3,"15,227",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"9,388,000","4,290.53","2,188",Sep-25,GOODMAN ROAD,Resale,Land,398.6,"23,552",-,Semi-Detached House,1,Freehold,15,Rest of Central Region,-
FRANKEL ESTATE,"11,000,000","6,003.08","1,832",Sep-25,SIGLAP PLAIN,Resale,Land,557.7,"19,724",-,Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,050,000","3,089.27","1,958",Sep-25,CARPMAEL ROAD,Resale,Land,287,"21,080",-,Terrace House,1,Freehold,15,Rest of Central Region,-
FRANKEL ESTATE,"11,600,000","6,986.91","1,660",Sep-25,SIGLAP HILL,Resale,Land,649.1,"17,871",-,Detached House,1,Freehold,15,Outside Central Region,-
OPERA ESTATE,"3,400,000","1,599.53","2,126",Sep-25,METROPOLE DRIVE,Resale,Land,148.6,"22,880",-,Terrace House,1,Freehold,15,Outside Central Region,-
SENNETT ESTATE,"3,600,000","1,498.35","2,403",Sep-25,KEE CHOE AVENUE,Resale,Land,139.2,"25,862",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,500,000","1,838.49","2,448",Sep-25,KARIKAL LANE,Resale,Land,170.8,"26,347",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"11,250,000","4,843.8","2,323",Sep-25,MOUNTBATTEN ROAD,Resale,Land,450,"25,000",-,Detached House,1,Freehold,15,Rest of Central Region,-
WATTEN ESTATE,"24,500,000","16,632.53","1,473",Sep-25,PARK VALE,Resale,Land,"1,545.2","15,856",-,Detached House,1,999 yrs lease commencing from 1874,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"16,888,000","8,493.87","1,988",Sep-25,JALAN NAGA SARI,Resale,Land,789.1,"21,402",-,Detached House,1,Freehold,11,Core Central Region,-
GOLDHILL GARDENS,"9,250,000","3,926.71","2,356",Sep-25,GOLDHILL VIEW,Resale,Land,364.8,"25,356",-,Terrace House,1,Freehold,11,Core Central Region,-
SANNY PARK,"18,500,000","9,024.54","2,050",Sep-25,MERRYN ROAD,Resale,Land,838.4,"22,066",-,Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,700,000","3,516.6","1,621",Sep-25,LENGKONG LIMA,Resale,Land,326.7,"17,447",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
ORCHID VILLAGE,"10,388,000","3,946.08","2,632",Sep-25,VANDA ROAD,Resale,Land,366.6,"28,336",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"11,050,000","2,755.58","4,010",Sep-25,KHEAM HOCK ROAD,New Sale,Land,256,"43,164",-,Terrace House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"11,500,000","3,722.19","3,090",Sep-25,HARLYN ROAD,Resale,Land,345.8,"33,256",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
MACPHERSON GARDEN ESTATE,"4,640,000","2,289.5","2,027",Sep-25,JALAN MULIA,Resale,Land,212.7,"21,815",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,500,000","3,376.67","1,925",Sep-25,JALAN WAKAFF,Resale,Land,313.7,"20,720",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,060,000","2,665.17","2,274",Sep-25,EAST COAST ROAD,Resale,Land,247.6,"24,475",-,Terrace House,1,Freehold,15,Rest of Central Region,-
