Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
EUHABITAT,"3,100,000","3,379.9",917,Sep-25,JALAN EUNOS,Resale,Strata,314,"9,873",-,Terrace House,1,99 yrs lease commencing from 2010,14,Outside Central Region,-
EIGHT RIVERSUITES,"2,750,000","2,960.1",929,Sep-25,WHAMPOA EAST,Resale,Strata,275,"10,000",-,Terrace House,1,99 yrs lease commencing from 2011,12,Rest of Central Region,-
ELITE RESIDENCES,"3,320,000","3,831.98",866,Sep-25,ELITE TERRACE,Resale,Strata,356,"9,326",-,Terrace House,1,Freehold,15,Outside Central Region,-
THE WHITLEY RESIDENCES,"5,585,000","7,190.35",777,Sep-25,WHITLEY ROAD,Resale,Strata,668,"8,361",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
DUNSFOLD 18,"4,500,000","4,467.06","1,007",Sep-25,DUNSFOLD DRIVE,Resale,Strata,415,"10,843",-,Detached House,1,Freehold,13,Outside Central Region,-
HILLCREST VILLA,"4,280,000","3,153.85","1,357",Sep-25,HILLCREST ROAD,Resale,Strata,293,"14,608",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
MEDALLION,"3,500,000","4,154.9",842,Sep-25,BRADDELL ROAD,Resale,Strata,386,"9,067",-,Detached House,1,Freehold,13,Outside Central Region,-
HILLCREST VILLA,"4,038,888","3,089.27","1,307",Aug-25,HILLCREST ROAD,Resale,Strata,287,"14,073",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
KALEIDO,"3,715,000","3,283.02","1,132",Aug-25,LORONG K TELOK KURAU,Resale,Strata,305,"12,180",-,Terrace House,1,Freehold,15,Outside Central Region,-
MEDALLION,"3,188,888","3,304.55",965,Aug-25,BRADDELL ROAD,Resale,Strata,307,"10,387",-,Detached House,1,Freehold,13,Outside Central Region,-
DUNSFOLD 18,"4,100,000","4,208.72",974,Aug-25,DUNSFOLD DRIVE,Resale,Strata,391,"10,486",-,Detached House,1,Freehold,13,Outside Central Region,-
MARINE GARDEN,"2,600,000","1,733","1,500",Aug-25,SIGLAP ROAD,Resale,Strata,161,"16,149",-,Terrace House,1,Freehold,15,Outside Central Region,-
SENYUM RESIDENCES,"3,830,000","3,024.68","1,266",Aug-25,JALAN SENYUM,Resale,Strata,281,"13,630",-,Terrace House,1,Freehold,14,Outside Central Region,-
EUHABITAT,"3,150,000","3,487.54",903,Aug-25,JALAN EUNOS,Resale,Strata,324,"9,722",-,Terrace House,1,99 yrs lease commencing from 2010,14,Outside Central Region,-
HILLCREST VILLA,"4,030,000","3,100.03","1,300",Jul-25,HILLCREST ROAD,Resale,Strata,288,"13,993",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
BELLAVILLE,"3,838,000","4,413.24",870,Jul-25,SIAK KEW AVENUE,Resale,Strata,410,"9,361",-,Detached House,1,Freehold,13,Rest of Central Region,-
KALEIDO,"3,700,000","3,401.42","1,088",Jun-25,LORONG K TELOK KURAU,Resale,Strata,316,"11,709",-,Terrace House,1,Freehold,15,Outside Central Region,-
MONTCLAIR @ WHITLEY,"4,180,000","4,327.13",966,Jun-25,WHITLEY ROAD,Resale,Strata,402,"10,398",-,Semi-Detached House,1,Freehold,11,Core Central Region,01 to 05
MOUNTBATTEN LIGHTS,"7,800,000","7,976.12",978,May-25,MOUNTBATTEN ROAD,Resale,Strata,741,"10,526",-,Detached House,1,Freehold,15,Rest of Central Region,-
LOTUS VILLE,"3,750,000","3,982.68",942,May-25,LORONG L TELOK KURAU,Resale,Strata,370,"10,135",-,Terrace House,1,Freehold,15,Outside Central Region,-
DUNSFOLD 18,"4,180,000","4,230.25",988,May-25,DUNSFOLD DRIVE,Resale,Strata,393,"10,636",-,Detached House,1,Freehold,13,Outside Central Region,-
THE SEAWIND,"4,160,000","3,347.6","1,243",Apr-25,LORONG M TELOK KURAU,Resale,Strata,311,"13,376",-,Terrace House,1,Freehold,15,Outside Central Region,-
MATLOCK RESIDENCES,"4,150,000","5,446.58",762,Mar-25,MATLOCK RISE,Resale,Strata,506,"8,202",-,Detached House,1,Freehold,13,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,200,000","2,863.22","1,467",Mar-25,CHANCERY HILL WALK,Resale,Strata,266,"15,789",-,Terrace House,1,Freehold,11,Core Central Region,-
VILLAS @ GILSTEAD,"4,468,888","6,049.37",739,Mar-25,GILSTEAD ROAD,Resale,Strata,562,"7,952",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
SOMMERVILLE RESIDENCES,"4,000,000","4,402.48",909,Mar-25,SOMMERVILLE WALK,Resale,Strata,409,"9,780",-,Terrace House,1,Freehold,13,Outside Central Region,-
