Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
OTTO PLACE,"1,666,000",904.18,"1,843",Sep-25,PLANTATION CLOSE,New Sale,Strata,84,"19,833",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,11 to 15
COPEN GRAND,"1,516,000",936.47,"1,619",Sep-25,TENGAH GARDEN WALK,New Sale,Strata,87,"17,425",-,Executive Condominium,1,99 yrs lease commencing from 2021,24,Outside Central Region,01 to 05
OTTO PLACE,"1,631,000",871.88,"1,871",Sep-25,PLANTATION CLOSE,New Sale,Strata,81,"20,136",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,16 to 20
OTTO PLACE,"1,641,000",904.18,"1,815",Sep-25,PLANTATION CLOSE,New Sale,Strata,84,"19,536",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,11 to 15
INZ RESIDENCE,"1,550,000","1,044.11","1,485",Sep-25,CHOA CHU KANG AVENUE 5,Resale,Strata,97,"15,979",-,Executive Condominium,1,99 yrs lease commencing from 2015,23,Outside Central Region,11 to 15
THE CANOPY,"1,488,000","1,302.44","1,142",Sep-25,YISHUN AVENUE 11,Resale,Strata,121,"12,298",-,Executive Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,06 to 10
BELLEWOODS,"1,658,000","1,227.1","1,351",Sep-25,WOODLANDS AVENUE 5,Resale,Strata,114,"14,544",-,Executive Condominium,1,99 yrs lease commencing from 2013,25,Outside Central Region,06 to 10
THE VISIONAIRE,"1,470,000",979.52,"1,501",Sep-25,CANBERRA DRIVE,Resale,Strata,91,"16,154",-,Executive Condominium,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
WOODSVALE,"1,280,000","1,313.21",975,Sep-25,WOODLANDS DRIVE 72,Resale,Strata,122,"10,492",-,Executive Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,11 to 15
INZ RESIDENCE,"1,468,000","1,044.11","1,406",Sep-25,CHOA CHU KANG AVENUE 5,Resale,Strata,97,"15,134",-,Executive Condominium,1,99 yrs lease commencing from 2015,23,Outside Central Region,01 to 05
