Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
AQUARIUS BY THE PARK,"1,410,000","1,227.1","1,149",Apr-23,BEDOK RESERVOIR VIEW,Resale,Strata,114,"12,368",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,11 to 15
THE TAPESTRY,"710,000",441.32,"1,609",Apr-23,TAMPINES STREET 86,Resale,Strata,41,"17,317",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,01 to 05
COMPASS HEIGHTS,"1,500,000","1,323.97","1,133",Apr-23,SENGKANG SQUARE,Resale,Strata,123,"12,195",-,Apartment,1,99 yrs lease commencing from 2000,19,Outside Central Region,01 to 05
BARTLEY RESIDENCES,"1,550,000","1,097.93","1,412",Apr-23,LORONG HOW SUN,Resale,Strata,102,"15,196",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE PALETTE,"1,060,000",742.72,"1,427",Apr-23,PASIR RIS GROVE,Resale,Strata,69,"15,362",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
D'NEST,"750,000",484.38,"1,548",Apr-23,PASIR RIS GROVE,Resale,Strata,45,"16,667",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
JADE RESIDENCES,"2,168,000","1,291.68","1,678",Apr-23,LEW LIAN VALE,Resale,Strata,120,"18,067",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
GRANDEUR PARK RESIDENCES,"1,260,000",624.31,"2,018",Apr-23,BEDOK SOUTH AVENUE 3,Resale,Strata,58,"21,724",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,06 to 10
ARCHIPELAGO,"1,820,000","1,184.04","1,537",Apr-23,BEDOK RESERVOIR ROAD,Resale,Strata,110,"16,545",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
THE ALPS RESIDENCES,"1,568,000","1,087.16","1,442",Apr-23,TAMPINES STREET 86,Resale,Strata,101,"15,525",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,11 to 15
COMPASS HEIGHTS,"1,460,000","1,291.68","1,130",Apr-23,SENGKANG SQUARE,Resale,Strata,120,"12,167",-,Apartment,1,99 yrs lease commencing from 2000,19,Outside Central Region,01 to 05
PALM ISLES,"910,000",807.3,"1,127",Apr-23,FLORA DRIVE,Resale,Strata,75,"12,133",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,06 to 10
THE TAPESTRY,"1,140,000",688.9,"1,655",Apr-23,TAMPINES STREET 86,Resale,Strata,64,"17,813",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,11 to 15
THE GARDEN RESIDENCES,"792,888",452.09,"1,754",Apr-23,SERANGOON NORTH VIEW,Resale,Strata,42,"18,878",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10
DOUBLE BAY RESIDENCES,"1,670,000","1,270.15","1,315",Apr-23,SIMEI STREET 4,Resale,Strata,118,"14,153",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
BOATHOUSE RESIDENCES,"1,480,000","1,108.69","1,335",Apr-23,UPPER SERANGOON VIEW,Resale,Strata,103,"14,369",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
RIVERFRONT RESIDENCES,"765,000",462.85,"1,653",Apr-23,HOUGANG AVENUE 7,Sub Sale,Strata,43,"17,791",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
STRATFORD COURT,"1,180,000","1,162.51","1,015",Apr-23,BEDOK RIA CRESCENT,Resale,Strata,108,"10,926",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
WATERFRONT KEY,"1,270,000",882.65,"1,439",Apr-23,BEDOK RESERVOIR ROAD,Resale,Strata,82,"15,488",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"2,280,000","1,280.92","1,780",Apr-23,HOUGANG AVENUE 2,Sub Sale,Strata,119,"19,160",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
FOREST WOODS,"926,000",516.67,"1,792",Apr-23,LORONG LEW LIAN,Resale,Strata,48,"19,292",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
WEMBLY RESIDENCES,"1,559,000","1,323.97","1,178",Apr-23,YIO CHU KANG ROAD,Resale,Strata,123,"12,675",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
EASTPOINT GREEN,"800,000","1,011.82",791,Apr-23,SIMEI STREET 3,Resale,Strata,94,"8,511",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05
PALMWOODS,"1,180,000","1,173.28","1,006",Apr-23,UPPER CHANGI ROAD,Resale,Strata,109,"10,826",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05
JADESCAPE,"1,550,000",764.24,"2,028",Apr-23,SHUNFU ROAD,Sub Sale,Strata,71,"21,831",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,01 to 05
EAST MEADOWS,"1,650,000","1,356.26","1,217",Apr-23,TANAH MERAH KECHIL ROAD,Resale,Strata,126,"13,095",-,Condominium,1,99 yrs lease commencing from 1998,16,Outside Central Region,01 to 05
THOMSON THREE,"1,600,000","1,065.64","1,501",Apr-23,BRIGHT HILL DRIVE,Resale,Strata,99,"16,162",-,Apartment,1,99 yrs lease commencing from 2012,20,Rest of Central Region,21 to 25
AQUARIUS BY THE PARK,"1,700,000","1,323.97","1,284",Apr-23,BEDOK RESERVOIR VIEW,Resale,Strata,123,"13,821",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,11 to 15
EDELWEISS PARK CONDOMINIUM,"1,490,000","1,334.74","1,116",Apr-23,FLORA ROAD,Resale,Strata,124,"12,016",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
THE TROPICA,"1,240,000","1,237.86","1,002",Apr-23,TAMPINES AVENUE 1,Resale,Strata,115,"10,783",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"2,900,000","1,679.18","1,727",Apr-23,HOUGANG AVENUE 7,Sub Sale,Strata,156,"18,590",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
ECO,"930,000",635.08,"1,464",Apr-23,BEDOK SOUTH AVENUE 3,Resale,Strata,59,"15,763",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
CENTRO RESIDENCES,"1,928,000","1,205.57","1,599",Apr-23,ANG MO KIO AVENUE 8,Resale,Strata,112,"17,214",-,Condominium,1,99 yrs lease commencing from 2007,20,Outside Central Region,31 to 35
GRANDEUR PARK RESIDENCES,"2,488,888","1,453.14","1,713",Apr-23,BEDOK SOUTH AVENUE 3,Resale,Strata,135,"18,436",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,06 to 10
GRANDEUR PARK RESIDENCES,"1,270,000",667.37,"1,903",Apr-23,BEDOK SOUTH AVENUE 3,Resale,Strata,62,"20,484",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,11 to 15
EAST MEADOWS,"1,450,000","1,291.68","1,123",Apr-23,TANAH MERAH KECHIL ROAD,Resale,Strata,120,"12,083",-,Condominium,1,99 yrs lease commencing from 1998,16,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"740,000",462.85,"1,599",Apr-23,HOUGANG AVENUE 7,Sub Sale,Strata,43,"17,209",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
BOTANIQUE AT BARTLEY,"1,350,000",731.95,"1,844",Apr-23,UPPER PAYA LEBAR ROAD,Resale,Strata,68,"19,853",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
FERRARIA PARK CONDOMINIUM,"1,368,000","1,216.33","1,125",Apr-23,FLORA DRIVE,Resale,Strata,113,"12,106",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
SEASTRAND,"696,000",570.49,"1,220",Apr-23,PASIR RIS LINK,Resale,Strata,53,"13,132",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,01 to 05
AFFINITY AT SERANGOON,"1,330,000",753.48,"1,765",Apr-23,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,70,"19,000",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE GLADES,"1,070,000",688.9,"1,553",Apr-23,BEDOK RISE,Resale,Strata,64,"16,719",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,06 to 10
LA FIESTA,"1,600,000","1,097.93","1,457",Apr-23,SENGKANG SQUARE,Resale,Strata,102,"15,686",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
RIVERFRONT RESIDENCES,"752,500",462.85,"1,626",Apr-23,HOUGANG AVENUE 7,Sub Sale,Strata,43,"17,500",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
RIVERVALE CREST,"930,000",936.47,993,Apr-23,RIVERVALE CRESCENT,Resale,Strata,87,"10,690",-,Apartment,1,99 yrs lease commencing from 1997,19,Outside Central Region,11 to 15
LA FIESTA,"1,078,000",731.95,"1,473",Apr-23,SENGKANG SQUARE,Resale,Strata,68,"15,853",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,190,000",645.84,"1,843",Apr-23,HOUGANG AVENUE 2,Sub Sale,Strata,60,"19,833",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
LAGUNA 88,"1,638,888","1,517.72","1,080",Apr-23,EASTWOOD ROAD,Resale,Strata,141,"11,623",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
THE ALPS RESIDENCES,"985,000",699.66,"1,408",Apr-23,TAMPINES STREET 86,Resale,Strata,65,"15,154",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,06 to 10
AFFINITY AT SERANGOON,"1,068,000",613.55,"1,741",Apr-23,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,57,"18,737",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
PASIR RIS 8,"2,567,200","1,463.9","1,754",Apr-23,PASIR RIS DRIVE 8,New Sale,Strata,136,"18,876",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
THE ALPS RESIDENCES,"680,000",462.85,"1,469",Apr-23,TAMPINES STREET 86,Resale,Strata,43,"15,814",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,01 to 05
FLO RESIDENCE,"1,010,000",861.12,"1,173",Apr-23,PUNGGOL FIELD WALK,Resale,Strata,80,"12,625",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
RIO VISTA,"1,530,000","1,377.79","1,110",Apr-23,UPPER SERANGOON VIEW,Resale,Strata,128,"11,953",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,16 to 20
JADESCAPE,"1,170,000",527.44,"2,218",Apr-23,SHUNFU ROAD,Sub Sale,Strata,49,"23,878",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
SKY VUE,"2,300,000","1,140.98","2,016",Apr-23,BISHAN STREET 15,Resale,Strata,106,"21,698",-,Condominium,1,99 yrs lease commencing from 2013,20,Rest of Central Region,31 to 35
THE TAPESTRY,"1,150,000",699.66,"1,644",Apr-23,TAMPINES STREET 86,Resale,Strata,65,"17,692",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,01 to 05
HEDGES PARK CONDOMINIUM,"652,888",484.38,"1,348",Apr-23,FLORA DRIVE,Resale,Strata,45,"14,509",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,06 to 10
