Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
CHUAN PARK,"2,015,700",731.95,"2,754",Sep-25,LORONG CHUAN,New Sale,Strata,68,"29,643",-,Condominium,1,99 yrs lease commencing from 2024,19,Outside Central Region,11 to 15
THE GARDEN RESIDENCES,"1,455,000",785.77,"1,852",Sep-25,SERANGOON NORTH VIEW,Resale,Strata,73,"19,932",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10
THE PALETTE,"1,610,000","1,065.64","1,511",Sep-25,PASIR RIS GROVE,Resale,Strata,99,"16,263",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
THE SHOREFRONT,"1,533,542",775.01,"1,979",Sep-25,JALAN LOYANG BESAR,New Sale,Strata,72,"21,299",-,Apartment,1,999 yrs lease commencing from 1937,17,Outside Central Region,01 to 05
KENSINGTON SQUARE,"1,080,000",613.55,"1,760",Sep-25,JALAN LOKAM,Resale,Strata,57,"18,947",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE GLADES,"1,441,000",839.59,"1,716",Sep-25,BEDOK RISE,Resale,Strata,78,"18,474",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,06 to 10
EASTERN LAGOON,"1,928,000","1,065.64","1,809",Sep-25,UPPER EAST COAST ROAD,Resale,Strata,99,"19,475",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
RIVERSAILS,"1,292,000",914.94,"1,412",Sep-25,UPPER SERANGOON CRESCENT,Resale,Strata,85,"15,200",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"1,270,000",721.19,"1,761",Sep-25,HOUGANG AVENUE 7,Resale,Strata,67,"18,955",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
BISHAN 8,"2,288,888","1,528.49","1,497",Sep-25,BISHAN STREET 21,Resale,Strata,142,"16,119",-,Condominium,1,99 yrs lease commencing from 1996,20,Rest of Central Region,01 to 05
THE ALPS RESIDENCES,"1,622,000","1,065.64","1,522",Sep-25,TAMPINES STREET 86,Resale,Strata,99,"16,384",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,01 to 05
JADESCAPE,"3,188,000","1,259.39","2,531",Sep-25,SHUNFU ROAD,Resale,Strata,117,"27,248",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,06 to 10
BISHAN PARK CONDOMINIUM,"1,850,000","1,270.15","1,457",Sep-25,SIN MING WALK,Resale,Strata,118,"15,678",-,Condominium,1,99 yrs lease commencing from 1991,20,Rest of Central Region,06 to 10
MELVILLE PARK,"883,000",936.47,943,Sep-25,SIMEI STREET 1,Resale,Strata,87,"10,149",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,01 to 05
MELVILLE PARK,"880,000",936.47,940,Sep-25,SIMEI STREET 1,Resale,Strata,87,"10,115",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,01 to 05
CHUAN PARK,"2,011,100",731.95,"2,748",Sep-25,LORONG CHUAN,New Sale,Strata,68,"29,575",-,Condominium,1,99 yrs lease commencing from 2024,19,Outside Central Region,16 to 20
CHUAN PARK,"3,282,900","1,205.57","2,723",Sep-25,LORONG CHUAN,New Sale,Strata,112,"29,312",-,Condominium,1,99 yrs lease commencing from 2024,19,Outside Central Region,16 to 20
TERRASSE,"2,618,000","1,420.85","1,843",Sep-25,TERRASSE LANE,Resale,Strata,132,"19,833",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
PARC OLYMPIA,"688,888",495.14,"1,391",Sep-25,FLORA DRIVE,Resale,Strata,46,"14,976",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10
RIVER ISLES,"2,250,000","1,474.67","1,526",Sep-25,EDGEDALE PLAINS,Resale,Strata,137,"16,423",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,16 to 20
THOMSON GRAND,"2,588,000","1,356.26","1,908",Sep-25,SIN MING WALK,Resale,Strata,126,"20,540",-,Condominium,1,99 yrs lease commencing from 2010,20,Rest of Central Region,06 to 10
ARTISAN 8,"2,417,000","1,022.58","2,364",Sep-25,SIN MING ROAD,New Sale,Strata,95,"25,442",-,Apartment,1,Freehold,20,Rest of Central Region,01 to 05
ARTISAN 8,"2,054,000",850.36,"2,415",Sep-25,SIN MING ROAD,New Sale,Strata,79,"26,000",-,Apartment,1,Freehold,20,Rest of Central Region,01 to 05
SEA ESTA,"1,080,000",818.06,"1,320",Sep-25,PASIR RIS LINK,Resale,Strata,76,"14,211",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,06 to 10
