Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BAN GUAN PARK,"8,180,000","3,374.51","2,424",Sep-25,GREENLEAF PLACE,Resale,Land,313.5,"26,093",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"30,288,000","19,439.78","1,558",Sep-25,CORNWALL GARDENS,Resale,Land,"1,806","16,771",-,Detached House,1,Freehold,10,Core Central Region,-
MOUNT SINAI,"10,500,000","4,566.09","2,300",Sep-25,MOUNT SINAI DRIVE,Resale,Land,424.2,"24,752",-,Semi-Detached House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
LUCKY PARK,"21,600,000","9,575.65","2,256",Sep-25,LASIA AVENUE,Resale,Land,889.6,"24,281",-,Detached House,1,Freehold,10,Core Central Region,-
HENRY PARK,"5,530,000","2,074.22","2,666",Sep-25,GROVE AVENUE,Resale,Land,192.7,"28,697",-,Terrace House,1,Freehold,10,Core Central Region,-
OEI TIONG HAM PARK,"23,880,000","8,989.02","2,657",Sep-25,JALAN PELANGI,Resale,Land,835.1,"28,595",-,Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"13,350,000","3,425.1","3,898",Sep-25,DUCHESS AVENUE,Resale,Land,318.2,"41,955",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
OEI TIONG HAM PARK,"23,588,000","9,279.64","2,542",Sep-25,JALAN HARUM,Resale,Land,862.1,"27,361",-,Detached House,1,Freehold,10,Core Central Region,-
EDEN PARK,"7,450,000","3,179.69","2,343",Sep-25,REDWOOD AVENUE,Resale,Land,295.4,"25,220",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
SHAMROCK PARK,"8,200,000","3,195.83","2,566",Sep-25,NAMLY GARDEN,Resale,Land,296.9,"27,619",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LUCKY PARK,"9,000,000","3,065.59","2,936",Sep-25,LANTANA AVENUE,Resale,Land,284.8,"31,601",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
KINGSVILLE,"4,350,000","2,403.6","1,810",Sep-25,KING'S DRIVE,Resale,Land,223.3,"19,481",-,Semi-Detached House,1,102 yrs lease commencing from 1996,10,Core Central Region,-
GARLICK PARK,"6,150,000","1,991.34","3,088",Aug-25,SIXTH AVENUE,Resale,Land,185,"33,243",-,Terrace House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"8,000,000","1,723.32","4,642",Aug-25,JALAN ELOK,Resale,Land,160.1,"49,969",-,Terrace House,1,Freehold,09,Core Central Region,-
DUKE'S GARDEN,"11,380,000","3,785.7","3,006",Aug-25,DUCHESS ROAD,Resale,Land,351.7,"32,357",-,Semi-Detached House,1,999 yrs lease commencing from 1875,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"26,500,000","8,405.61","3,153",Aug-25,NAMLY GROVE,Resale,Land,780.9,"33,935",-,Detached House,1,Freehold,10,Core Central Region,-
HOLLAND GROVE PARK,"7,080,000","3,160.31","2,240",Aug-25,HOLLAND GROVE DRIVE,Resale,Land,293.6,"24,114",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"10,850,000","4,127.99","2,628",Aug-25,NAMLY CRESCENT,Resale,Land,383.5,"28,292",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
KINGSVILLE,"4,220,000","2,427.28","1,739",Aug-25,KING'S DRIVE,Resale,Land,225.5,"18,714",-,Semi-Detached House,1,102 yrs lease commencing from 1996,10,Core Central Region,-
DUKE'S GARDEN,"9,976,000","3,785.7","2,635",Aug-25,PRINCESS OF WALES ROAD,Resale,Land,351.7,"28,365",-,Semi-Detached House,1,999 yrs lease commencing from 1875,10,Core Central Region,-
BAN GUAN PARK,"10,250,000","3,773.86","2,716",Aug-25,GREENLEAF DRIVE,Resale,Land,350.6,"29,236",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
SHAMROCK PARK,"10,000,000","4,618.83","2,165",Aug-25,NAMLY DRIVE,Resale,Land,429.1,"23,305",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
HOLLAND GARDENS,"11,080,000","4,369.11","2,536",Aug-25,MOONBEAM TERRACE,Resale,Land,405.9,"27,297",-,Detached House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
MCMAHON PARK,"6,160,000","3,283.02","1,876",Aug-25,HOLLAND ROAD,Resale,Land,305,"20,197",-,Detached House,1,999 yrs lease commencing from 1877,10,Core Central Region,-
HENRY PARK,"11,000,000","4,210.88","2,612",Jul-25,GROVE DRIVE,Resale,Land,391.2,"28,119",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"6,938,888","2,209.85","3,140",Jul-25,JALAN LADA PUTEH,Resale,Land,205.3,"33,799",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"9,308,000","3,907.33","2,382",Jul-25,CORONATION ROAD WEST,Resale,Land,363,"25,642",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
KINGSVILLE,"5,080,000","2,896.59","1,754",Jul-25,KING'S DRIVE,Resale,Land,269.1,"18,878",-,Semi-Detached House,1,102 yrs lease commencing from 1996,10,Core Central Region,-
SHAMROCK PARK,"9,390,000","3,922.4","2,394",Jul-25,NAMLY CRESCENT,Resale,Land,364.4,"25,768",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
