Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
TOMLINSON HEIGHTS,"14,000,000","4,047.26","3,459",Apr-22,TOMLINSON ROAD,Resale,Strata,376,"37,234",-,Condominium,1,Freehold,10,Core Central Region,26 to 30
111 EMERALD HILL,"5,300,000","2,411.14","2,198",Apr-22,EMERALD HILL ROAD,Resale,Strata,224,"23,661",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
D'LEEDON,"4,500,000","2,357.32","1,909",Apr-22,LEEDON HEIGHTS,Resale,Strata,219,"20,548",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,21 to 25
THE PATERSON EDGE,"2,300,000",990.29,"2,323",Apr-22,PATERSON ROAD,Resale,Strata,92,"25,000",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
THE MERASAGA,"2,400,000","1,367.03","1,756",Apr-22,JALAN MERAH SAGA,Resale,Strata,127,"18,898",-,Condominium,1,99 yrs lease commencing from 1991,10,Core Central Region,01 to 05
THE LAURELS,"10,600,000","4,768.45","2,223",Apr-22,CAIRNHILL ROAD,Resale,Strata,443,"23,928",-,Condominium,1,Freehold,09,Core Central Region,16 to 20
THE AVENIR,"5,237,000","1,571.54","3,332",Apr-22,RIVER VALLEY CLOSE,New Sale,Strata,146,"35,870",-,Condominium,1,Freehold,09,Core Central Region,26 to 30
BURLINGTON SQUARE,"888,000",667.37,"1,331",Apr-22,BENCOOLEN STREET,Resale,Strata,62,"14,323",-,Apartment,1,99 yrs lease commencing from 1996,07,Rest of Central Region,11 to 15
THE ATELIER,"2,968,000","1,173.28","2,530",Apr-22,MAKEWAY AVENUE,New Sale,Strata,109,"27,229",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
THE COSMOPOLITAN,"3,250,000","1,399.32","2,323",Apr-22,KIM SENG ROAD,Resale,Strata,130,"25,000",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
LEEDON GREEN,"1,830,000",699.66,"2,616",Apr-22,LEEDON HEIGHTS,New Sale,Strata,65,"28,154",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
KOPAR AT NEWTON,"2,709,630","1,054.87","2,569",Apr-22,MAKEWAY AVENUE,New Sale,Strata,98,"27,649",-,Apartment,1,99 yrs lease commencing from 2019,09,Core Central Region,16 to 20
IRWELL HILL RESIDENCES,"1,888,000",656.6,"2,875",Apr-22,IRWELL HILL,New Sale,Strata,61,"30,951",-,Apartment,1,99 yrs lease commencing from 2020,09,Core Central Region,26 to 30
CAVENAGH GARDENS,"1,675,000","1,205.57","1,389",Apr-22,CAVENAGH ROAD,Resale,Strata,112,"14,955",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
THE AVENIR,"3,417,000","1,140.98","2,995",Apr-22,RIVER VALLEY CLOSE,New Sale,Strata,106,"32,236",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
THE AVENIR,"2,617,000",807.3,"3,242",Apr-22,RIVER VALLEY CLOSE,New Sale,Strata,75,"34,893",-,Condominium,1,Freehold,09,Core Central Region,26 to 30
ASTRID MEADOWS,"2,250,000","1,022.58","2,200",Apr-22,CORONATION ROAD WEST,Resale,Strata,95,"23,684",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
MARTIN MODERN,"2,388,888",882.65,"2,707",Apr-22,MARTIN PLACE,Sub Sale,Strata,82,"29,133",-,Condominium,1,99 yrs lease commencing from 2016,09,Core Central Region,26 to 30
8 FARRER SUITES,"1,600,000",968.76,"1,652",Apr-22,SING JOO WALK,Resale,Strata,90,"17,778",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
CONCOURSE SKYLINE,"5,200,000","2,142.04","2,428",Apr-22,BEACH ROAD,Resale,Strata,199,"26,131",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,26 to 30
LUMA,"2,150,000","1,173.28","1,832",Apr-22,RIVER VALLEY GROVE,Resale,Strata,109,"19,725",-,Apartment,1,Freehold,09,Core Central Region,21 to 25
MARTIN MODERN,"2,020,088",764.24,"2,643",Apr-22,MARTIN PLACE,Sub Sale,Strata,71,"28,452",-,Condominium,1,99 yrs lease commencing from 2016,09,Core Central Region,11 to 15
MIDTOWN MODERN,"2,388,870",904.18,"2,642",Apr-22,TAN QUEE LAN STREET,New Sale,Strata,84,"28,439",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,01 to 05
IRWELL HILL RESIDENCES,"1,166,000",398.27,"2,928",Apr-22,IRWELL HILL,New Sale,Strata,37,"31,514",-,Apartment,1,99 yrs lease commencing from 2020,09,Core Central Region,26 to 30
THE MERASAGA,"1,660,000",947.23,"1,752",Apr-22,JALAN MERAH SAGA,Resale,Strata,88,"18,864",-,Condominium,1,99 yrs lease commencing from 1991,10,Core Central Region,01 to 05
HAUS ON HANDY,"1,379,000",516.67,"2,669",Apr-22,HANDY ROAD,New Sale,Strata,48,"28,729",-,Condominium,1,99 yrs lease commencing from 2018,09,Core Central Region,01 to 05
LEEDON GREEN,"1,531,000",581.26,"2,634",Apr-22,LEEDON HEIGHTS,New Sale,Strata,54,"28,352",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
THE M,"2,122,000",764.24,"2,777",Apr-22,MIDDLE ROAD,New Sale,Strata,71,"29,887",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,16 to 20
THE DRAYCOTT,"5,100,000","2,626.42","1,942",Apr-22,DRAYCOTT PARK,Resale,Strata,244,"20,902",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
LEEDON RESIDENCE,"5,500,000","2,131.27","2,581",Apr-22,LEEDON HEIGHTS,Resale,Strata,198,"27,778",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
KENT RESIDENCES,"880,000",775.01,"1,135",Apr-22,KENT ROAD,Resale,Strata,72,"12,222",-,Apartment,1,Freehold,08,Rest of Central Region,06 to 10
ORCHARD TOWERS,"3,050,000","1,969.81","1,548",Apr-22,CLAYMORE DRIVE,Resale,Strata,183,"16,667",-,Apartment,1,Freehold,09,Core Central Region,21 to 25
RIVERIA GARDENS,"2,280,000",968.76,"2,354",Apr-22,RIVER VALLEY GROVE,Resale,Strata,90,"25,333",-,Apartment,1,Freehold,09,Core Central Region,21 to 25
LATITUDE,"7,088,000","2,766.35","2,562",Apr-22,JALAN MUTIARA,Resale,Strata,257,"27,580",-,Condominium,1,Freehold,10,Core Central Region,21 to 25
LEONIE PARC VIEW,"5,220,000","2,249.68","2,320",Apr-22,LEONIE HILL ROAD,Resale,Strata,209,"24,976",-,Apartment,1,Freehold,09,Core Central Region,16 to 20
LOFT @ RANGOON,"680,000",452.09,"1,504",Apr-22,RANGOON ROAD,Resale,Strata,42,"16,190",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
HOLLAND PEAK,"1,080,000",592.02,"1,824",Apr-22,HOLLAND HILL,Resale,Strata,55,"19,636",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
CANNINGHILL PIERS,"2,322,000",828.83,"2,802",Apr-22,CLARKE QUAY,New Sale,Strata,77,"30,156",-,Apartment,1,99 yrs lease commencing from 2021,06,Rest of Central Region,16 to 20
THE AVENIR,"7,677,000","2,411.14","3,184",Apr-22,RIVER VALLEY CLOSE,New Sale,Strata,224,"34,272",-,Condominium,1,Freehold,09,Core Central Region,01 to 05
FOURTH AVENUE RESIDENCES,"2,340,000",968.76,"2,415",Apr-22,FOURTH AVENUE,New Sale,Strata,90,"26,000",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,01 to 05
SLOANE RESIDENCES,"3,604,112","1,248.62","2,886",Apr-22,BALMORAL ROAD,New Sale,Strata,116,"31,070",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
LEEDON GREEN,"2,783,000",958,"2,905",Apr-22,LEEDON HEIGHTS,New Sale,Strata,89,"31,270",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
